           1    -5.29363    -5.29363 3.44451e-08
           2    -5.00015    -5.14689    0.103763
           3    -5.00326    -5.09901   0.0794567
           4    -4.99433    -5.07284   0.0637568
           5    -5.06524    -5.07132   0.0510236
           6    -5.06445    -5.07018   0.0425325
           7    -5.00446    -5.06079   0.0374783
           8    -5.02232    -5.05598   0.0331005
           9    -5.07036    -5.05758   0.0294612
          10    -4.99811    -5.05163   0.0271086
          11    -5.05251    -5.05171   0.0246443
          12    -4.97472    -5.04529   0.0234108
          13    -5.02269    -5.04356   0.0216744
          14    -5.02359    -5.04213   0.0201731
          15    -5.03701    -5.04179   0.0188311
          16    -5.04423    -5.04194   0.0176548
          17    -5.05786    -5.04288   0.0166411
          18    -5.05147    -5.04336   0.0157234
          19    -5.09111    -5.04587   0.0150954
          20    -5.03387    -5.04527   0.0143525
          21    -5.05344    -5.04566   0.0136744
          22    -5.07774    -5.04712   0.0131304
          23    -5.03023    -5.04638     0.01258
          24    -5.03302    -5.04582   0.0120681
          25    -4.99625    -5.04384   0.0117472
          26    -5.07153    -5.04491   0.0113436
          27    -5.00773    -5.04353   0.0110067
          28    -4.98653    -5.04149   0.0108002
          29    -4.92221    -5.03738   0.0111837
          30    -5.05382    -5.03793   0.0108243
          31    -5.09789    -5.03986   0.0106465
          32    -5.08446    -5.04126   0.0104046
          33    -5.04173    -5.04127   0.0100893
          34    -4.97412     -5.0393  0.00998402
          35    -4.99193    -5.03794  0.00979004
          36    -4.94439    -5.03534  0.00985698
          37    -5.03976    -5.03546   0.0095913
          38    -5.05148    -5.03588  0.00934816
          39    -5.01442    -5.03533  0.00912464
          40    -5.03347    -5.03529  0.00889664
          41    -4.98903    -5.03416   0.0087509
          42    -5.03544    -5.03419   0.0085426
          43    -5.06818    -5.03498  0.00838042
          44    -5.04186    -5.03514  0.00819142
          45    -4.99072    -5.03415  0.00806864
          46    -5.07359    -5.03501  0.00793865
          47    -5.04942    -5.03531  0.00777566
          48    -4.99923    -5.03456  0.00764991
          49    -5.02063    -5.03428  0.00749908
          50    -5.03534     -5.0343  0.00734913
          51    -5.05891    -5.03478  0.00722085
          52    -5.03063     -5.0347  0.00708243
          53    -5.02248    -5.03447  0.00695256
          54    -5.06817    -5.03509  0.00685175
          55     -4.9708    -5.03393  0.00682615
          56    -5.00689    -5.03344  0.00672131
          57    -5.08584    -5.03436  0.00666595
          58    -5.04487    -5.03454  0.00655348
          59    -5.03678    -5.03458  0.00644251
          60    -5.01611    -5.03427  0.00634248
          61    -5.03421    -5.03427  0.00623851
          62    -5.01527    -5.03397  0.00614541
          63    -5.00788    -5.03355   0.0060618
          64    -4.98208    -5.03275   0.0060202
          65    -4.99454    -5.03216   0.0059562
          66    -5.09501    -5.03311  0.00594159
          67    -5.05974    -5.03351  0.00586618
          68    -5.06474    -5.03397  0.00579787
          69    -5.01539     -5.0337  0.00572009
          70    -5.02506    -5.03358  0.00563971
          71     -4.9981    -5.03308  0.00558236
          72    -4.98251    -5.03237  0.00554882
          73      -4.989    -5.03178  0.00550453
          74    -4.99196    -5.03124  0.00545639
          75    -5.04582    -5.03144   0.0053871
          76    -5.06627    -5.03189  0.00533568
          77    -5.05169    -5.03215  0.00527257
          78    -5.01773    -5.03197  0.00520822
          79    -5.00342    -5.03161  0.00515481
          80    -5.07766    -5.03218  0.00512242
          81    -5.01877    -5.03202  0.00506185
          82    -5.06004    -5.03236  0.00501165
          83    -5.03297    -5.03236  0.00495128
          84    -5.06709    -5.03278  0.00490956
          85    -5.02916    -5.03274  0.00485199
          86    -5.08027    -5.03329  0.00482694
          87    -4.99409    -5.03284  0.00479244
          88    -5.02822    -5.03279  0.00473827
          89    -5.00986    -5.03253  0.00469203
          90    -5.00821    -5.03226  0.00464767
          91     -4.9957    -5.03186  0.00461392
          92     -5.0031    -5.03154  0.00457435
          93    -5.11338    -5.03242  0.00460902
          94    -5.02926    -5.03239  0.00456011
          95    -4.99924    -5.03204  0.00452544
          96    -5.02621    -5.03198  0.00447871
          97    -5.04691    -5.03213  0.00443518
          98    -5.05305    -5.03235  0.00439505
          99     -4.9774    -5.03179  0.00438556
         100    -5.01049    -5.03158  0.00434687
         101    -5.03347     -5.0316  0.00430388
         102    -5.03361    -5.03162  0.00426173
         103     -5.0326    -5.03163  0.00422036
         104    -5.01936    -5.03151  0.00418143
         105    -5.04495    -5.03164  0.00414356
         106    -4.99187    -5.03126  0.00412142
         107    -5.00271      -5.031  0.00409153
         108    -5.01776    -5.03087  0.00405548
         109    -5.02917    -5.03086   0.0040183
         110    -5.02808    -5.03083  0.00398185
         111    -5.01097    -5.03065     0.00395
         112    -5.02264    -5.03058  0.00391538
         113    -4.97247    -5.03007  0.00391436
         114    -5.06482    -5.03037  0.00389187
         115    -5.07392    -5.03075  0.00387641
         116    -5.05422    -5.03095  0.00384827
         117    -5.05762    -5.03118  0.00382212
         118    -4.99335    -5.03086  0.00380315
         119    -5.01913    -5.03076  0.00377246
         120    -4.98488    -5.03038  0.00376035
         121    -5.03984    -5.03046  0.00373008
         122    -5.05368    -5.03065  0.00370436
         123    -5.03782    -5.03071   0.0036747
         124    -4.97107    -5.03023  0.00367641
         125     -5.0725    -5.03056  0.00366252
         126    -5.04077    -5.03064  0.00363435
         127    -5.06362     -5.0309    0.003615
         128    -5.00346    -5.03069  0.00359311
         129    -5.00696    -5.03051  0.00356996
         130    -5.03797    -5.03056  0.00354296
         131    -5.07102    -5.03087  0.00352935
         132    -4.98245    -5.03051  0.00352162
         133    -4.94832    -5.02989  0.00354895
         134    -5.08757    -5.03032  0.00354848
         135    -5.03142    -5.03033   0.0035222
         136    -5.02519    -5.03029  0.00349651
         137     -5.0118    -5.03015  0.00347359
         138    -5.03531    -5.03019  0.00344862
         139    -4.99627    -5.02995  0.00343243
         140    -4.98676    -5.02964  0.00342175
         141    -5.02616    -5.02961  0.00339757
         142    -4.98605    -5.02931  0.00338747
         143    -5.07383    -5.02962  0.00337806
         144    -5.06161    -5.02984   0.0033619
         145    -4.97145    -5.02944  0.00336274
         146    -5.02029    -5.02937  0.00334029
         147    -5.05813    -5.02957  0.00332329
         148    -4.98739    -5.02929  0.00331304
         149    -5.08065    -5.02963  0.00330868
         150    -5.03136    -5.02964  0.00328665
         151    -4.89406    -5.02874   0.0033853
         152    -5.06681    -5.02899  0.00337228
         153    -5.00734    -5.02885  0.00335321
         154    -4.98711    -5.02858  0.00334237
         155    -4.97374    -5.02823  0.00333948
         156    -5.00727    -5.02809  0.00332078
         157     -4.9926    -5.02787  0.00330731
         158    -5.05859    -5.02806  0.00329209
         159    -5.03721    -5.02812  0.00327189
         160    -5.05147    -5.02827  0.00325469
         161    -5.01805     -5.0282  0.00323509
         162    -5.04541    -5.02831  0.00321687
         163    -4.98378    -5.02803  0.00320871
         164     -4.9827    -5.02776  0.00320103
         165    -4.99121    -5.02754  0.00318928
         166    -5.03101    -5.02756  0.00317014
         167    -5.00728    -5.02744  0.00315348
         168     -4.9997    -5.02727  0.00313903
         169    -4.95749    -5.02686  0.00314749
         170     -5.0618    -5.02706  0.00313568
         171    -5.01438    -5.02699  0.00311822
         172    -5.03888    -5.02706  0.00310086
         173    -5.02323    -5.02704  0.00308301
         174    -5.02056      -5.027  0.00306552
         175    -4.96597    -5.02665  0.00306777
         176    -5.01474    -5.02658  0.00305109
         177     -5.0692    -5.02682  0.00304334
         178    -5.06985    -5.02707  0.00303582
         179    -5.03619    -5.02712  0.00301929
         180    -5.03855    -5.02718  0.00300319
         181    -5.05198    -5.02732  0.00298972
         182    -5.03581    -5.02736  0.00297366
         183    -5.12483     -5.0279  0.00300472
         184    -5.03189    -5.02792  0.00298847
         185    -5.03825    -5.02797  0.00297284
         186    -5.08641    -5.02829  0.00297341
