           1     1.93512     1.93512 1.12678e-08
           2     1.64033     1.78773    0.104225
           3      1.6444     1.73995   0.0796839
           4     1.64115     1.71525   0.0634759
           5     1.71468     1.71514   0.0507808
           6     1.72667     1.71706   0.0423537
           7     1.64805      1.7072    0.037433
           8     1.71184     1.70778   0.0327583
           9     1.64048      1.7003     0.02996
          10     1.56872     1.68714   0.0297135
          11     1.64804     1.68359   0.0272241
          12     1.65272     1.68102   0.0250766
          13     1.61468     1.67591   0.0236611
          14     1.72325     1.67929   0.0222113
          15     1.72263     1.68218   0.0209176
          16     1.62084     1.67835   0.0199585
          17     1.63265     1.67566   0.0189647
          18     1.66339     1.67498   0.0179233
          19     1.62847     1.67253   0.0171463
          20     1.66801     1.67231   0.0162905
          21     1.60363     1.66903   0.0158397
          22      1.7025     1.67056   0.0151925
          23     1.63749     1.66912   0.0145998
          24     1.67705     1.66945   0.0139952
          25     1.60734     1.66696   0.0136541
          26     1.65439     1.66648   0.0131375
          27      1.6587     1.66619   0.0126541
          28     1.63657     1.66513   0.0122463
          29      1.6806     1.66567   0.0118356
          30     1.68695     1.66638   0.0114624
          31     1.72767     1.66835   0.0112618
          32     1.66317     1.66819   0.0109111
          33     1.69993     1.66915   0.0106227
          34     1.65767     1.66882   0.0103156
          35     1.65671     1.66847   0.0100267
          36     1.69473      1.6692  0.00977469
          37     1.70062     1.67005  0.00954732
          38     1.66841     1.67001  0.00929617
          39     1.69204     1.67057  0.00907496
          40     1.67923     1.67079  0.00885066
          41     1.66544     1.67066  0.00863576
          42     1.58451     1.66861  0.00867034
          43      1.5852     1.66667  0.00868296
          44     1.67386     1.66683  0.00848716
          45     1.63288     1.66608  0.00833203
          46     1.66462     1.66604  0.00815095
          47     1.73186     1.66744  0.00809693
          48     1.69164     1.66795  0.00794392
          49     1.64041     1.66739  0.00780166
          50      1.6704     1.66745  0.00764586
          51     1.67835     1.66766  0.00749893
          52     1.67958     1.66789  0.00735822
          53     1.66098     1.66776  0.00722053
          54     1.64424     1.66732  0.00709994
          55     1.66823     1.66734  0.00697087
          56     1.61986     1.66649  0.00689776
          57     1.67527     1.66665  0.00677847
          58     1.73228     1.66778  0.00675538
          59     1.58958     1.66645  0.00676967
          60      1.6725     1.66655  0.00665759
          61      1.6714     1.66663  0.00654892
          62     1.67368     1.66675  0.00644428
          63     1.62252     1.66604  0.00638012
          64      1.6444     1.66571  0.00628939
          65     1.65188     1.66549  0.00619622
          66     1.67162     1.66559  0.00610303
          67     1.65853     1.66548  0.00601285
          68     1.62582      1.6649  0.00595264
          69     1.67429     1.66503  0.00586793
          70     1.68738     1.66535  0.00579278
          71     1.65326     1.66518  0.00571369
          72     1.69676     1.66562  0.00565115
          73     1.58504     1.66452  0.00568051
          74     1.56873     1.66322  0.00574935
          75     1.63648     1.66287  0.00568374
          76     1.69863     1.66334   0.0056284
          77     1.68868     1.66367  0.00556492
          78     1.58718     1.66269   0.0055793
          79     1.71031     1.66329  0.00554114
          80     1.70957     1.66387  0.00550199
          81     1.71064     1.66444  0.00546429
          82     1.68494     1.66469  0.00540336
          83     1.60785     1.66401  0.00538149
          84     1.61618     1.66344  0.00534746
          85     1.64655     1.66324  0.00528824
          86     1.57497     1.66221  0.00532542
          87     1.62968     1.66184  0.00527732
          88     1.64541     1.66165  0.00522065
          89     1.64736     1.66149  0.00516446
          90     1.67061     1.66159  0.00510807
          91     1.64327     1.66139  0.00505591
          92     1.67781     1.66157   0.0050041
          93     1.70775     1.66207  0.00497487
          94     1.63777     1.66181  0.00492866
          95      1.6804     1.66201  0.00488066
          96     1.62081     1.66158  0.00484865
          97     1.63727     1.66133  0.00480514
          98     1.68278     1.66154  0.00476109
          99     1.65572     1.66149  0.00471336
         100     1.71157     1.66199  0.00469276
         101     1.63618     1.66173  0.00465325
         102     1.69173     1.66203  0.00461691
         103     1.69101     1.66231  0.00458066
         104     1.72716     1.66293  0.00457886
         105     1.74946     1.66375  0.00460882
         106     1.69464     1.66405  0.00457454
         107     1.66831     1.66409  0.00453196
         108      1.6379     1.66384  0.00449648
         109     1.70166     1.66419  0.00446859
         110     1.65402      1.6641  0.00442892
         111     1.63486     1.66383  0.00439685
         112     1.63852     1.66361   0.0043634
         113      1.7112     1.66403  0.00434506
         114     1.67616     1.66414  0.00430824
         115      1.7371     1.66477  0.00431724
         116     1.64691     1.66462  0.00428277
         117     1.69354     1.66486  0.00425329
         118     1.65314     1.66476  0.00421841
         119     1.60801     1.66429  0.00420983
         120     1.67205     1.66435  0.00417525
         121     1.66704     1.66437   0.0041408
         122     1.64429     1.66421  0.00411013
         123     1.65589     1.66414  0.00407727
         124     1.68104     1.66428  0.00404667
         125     1.60796     1.66383   0.0040393
         126     1.68495       1.664  0.00401072
         127     1.68241     1.66414  0.00398176
         128     1.66772     1.66417  0.00395075
         129     1.64242       1.664  0.00392372
         130     1.72673     1.66448   0.0039231
         131      1.7018     1.66477  0.00390348
         132     1.65761     1.66471  0.00387429
         133     1.72381     1.66516  0.00387055
         134     1.65169     1.66506  0.00384297
         135     1.66624     1.66507  0.00381451
         136     1.69855     1.66531  0.00379441
         137     1.65161     1.66521  0.00376803
         138     1.62793     1.66494  0.00375039
         139     1.64971     1.66483  0.00372501
         140     1.63278      1.6646  0.00370543
         141      1.6298     1.66436  0.00368736
         142     1.70284     1.66463  0.00367134
         143     1.75495     1.66526   0.0036996
         144     1.62181     1.66496  0.00368619
         145     1.65527     1.66489  0.00366137
         146     1.63553     1.66469  0.00364181
         147     1.66369     1.66468  0.00361704
         148     1.59029     1.66418  0.00362736
         149     1.62593     1.66392  0.00361209
         150     1.66652     1.66394  0.00358805
         151      1.6917     1.66412  0.00356899
         152     1.65456     1.66406  0.00354607
         153     1.66485     1.66407  0.00352289
         154     1.68411      1.6642  0.00350242
         155     1.68481     1.66433  0.00348235
         156     1.68491     1.66446  0.00346253
         157     1.67999     1.66456  0.00344188
         158     1.71319     1.66487  0.00343384
         159     1.70128      1.6651  0.00341987
         160     1.66432     1.66509   0.0033985
         161      1.6676     1.66511  0.00337742
         162     1.62543     1.66486  0.00336544
         163     1.73129     1.66527  0.00336938
         164     1.65868     1.66523  0.00334907
         165     1.66473     1.66523  0.00332878
         166     1.64296     1.66509  0.00331143
         167     1.70902     1.66536  0.00330203
         168     1.69719     1.66555  0.00328781
         169     1.64085      1.6654   0.0032716
         170     1.59625     1.66499  0.00327755
         171     1.70356     1.66522  0.00326613
         172     1.66081     1.66519  0.00324724
         173     1.69969     1.66539  0.00323459
         174     1.65726     1.66535  0.00321634
         175     1.71922     1.66565  0.00321266
         176     1.67181     1.66569  0.00319459
         177     1.67355     1.66573  0.00317685
         178     1.59558     1.66534  0.00318336
         179     1.59673     1.66496  0.00318857
         180     1.60905     1.66464  0.00318594
         181      1.6363     1.66449  0.00317219
         182     1.70005     1.66468  0.00316077
         183     1.68881     1.66482  0.00314625
         184     1.70633     1.66504  0.00313723
         185     1.65414     1.66498  0.00312082
         186     1.70665     1.66521  0.00311207
         187     1.66521     1.66521  0.00309543
         188     1.69821     1.66538  0.00308394
         189     1.65068      1.6653   0.0030686
         190     1.63878     1.66516  0.00305563
         191     1.67578     1.66522  0.00304013
         192     1.66634     1.66523   0.0030243
         193     1.65227     1.66516  0.00300938
         194     1.67782     1.66522  0.00299458
         195     1.66937     1.66524  0.00297929
         196     1.60542     1.66494  0.00297969
         197     1.69954     1.66512  0.00296974
         198     1.66463     1.66511  0.00295474
         199     1.69045     1.66524  0.00294263
         200     1.66652     1.66525  0.00292793
