           1     1.25594     1.25594 6.48724e-09
           2     1.06214     1.15904   0.0685182
           3     1.06812     1.12873   0.0519508
           4     1.05475     1.11024   0.0421265
           5     1.07581     1.10335   0.0342592
           6     1.14531     1.11035   0.0292545
           7     1.11398     1.11086   0.0250799
           8     1.06998     1.10575   0.0224595
           9     1.05739     1.10038   0.0205969
          10     1.06496     1.09684   0.0188393
          11     1.09307      1.0965   0.0171297
          12     1.10647     1.09733   0.0157224
          13     1.09122     1.09686     0.01452
          14     1.07984     1.09564   0.0135337
          15     1.06493     1.09359   0.0127853
          16      1.0983     1.09389   0.0119896
          17     1.06162     1.09199   0.0114336
          18      1.0894     1.09185   0.0107993
          19     1.05871      1.0901   0.0103708
          20      1.0576     1.08848  0.00997875
          21     1.09062     1.08858   0.0095041
          22     1.11363     1.08972  0.00914003
          23     1.13721     1.09178  0.00897283
          24     1.08228     1.09139   0.0086077
          25     1.06227     1.09022  0.00834183
          26     1.08205     1.08991  0.00802691
          27     1.11255     1.09075  0.00777332
          28     1.04691     1.08918  0.00765174
          29     1.08407       1.089  0.00738992
          30     1.08633     1.08892  0.00714412
          31     1.07915      1.0886  0.00692061
          32     1.07758     1.08826   0.0067129
          33     1.08444     1.08814  0.00651048
          34     1.06292      1.0874   0.0063611
          35     1.08572     1.08735  0.00617953
          36     1.05394     1.08642  0.00607716
          37     1.08086     1.08627  0.00591477
          38     1.09199     1.08642  0.00576104
          39     1.08142     1.08629  0.00561475
          40     1.10498     1.08676  0.00549377
          41      1.1021     1.08714  0.00537249
          42     1.04678     1.08618  0.00532979
          43     1.05315     1.08541  0.00526088
          44     1.08311     1.08536  0.00514157
          45     1.07485     1.08512  0.00503261
          46     1.04622     1.08428  0.00499375
          47     1.07023     1.08398  0.00489644
          48     1.10956     1.08451  0.00482335
          49     1.08535     1.08453  0.00472494
          50     1.06277     1.08409  0.00465043
          51     1.05584     1.08354  0.00459212
          52     1.05552       1.083  0.00453532
          53     1.07972     1.08294  0.00445017
          54     1.05616     1.08244   0.0043953
          55     1.05608     1.08196  0.00434144
          56     1.05465     1.08147  0.00429122
          57     1.07332     1.08133  0.00421832
          58     1.09443     1.08156  0.00415164
          59     1.06101     1.08121  0.00409585
          60     1.05829     1.08083  0.00404536
          61      1.0365      1.0801  0.00404379
          62     1.10108     1.08044   0.0039927
          63     1.10931      1.0809  0.00395554
          64     1.09207     1.08107  0.00389759
          65     1.07957     1.08105  0.00383769
          66     1.08636     1.08113  0.00378039
          67     1.09448     1.08133  0.00372922
          68     1.05685     1.08097  0.00369171
          69     1.03268     1.08027  0.00370395
          70     1.06289     1.08002  0.00365935
          71     1.08414     1.08008  0.00360827
          72     1.11152     1.08051  0.00358448
          73     1.10397     1.08084  0.00354974
          74     1.11245     1.08126  0.00352739
          75     1.10872     1.08163  0.00349931
          76     1.10293     1.08191  0.00346447
          77     1.10134     1.08216  0.00342865
          78     1.08618     1.08221  0.00338508
          79      1.1249     1.08275  0.00338509
          80     1.03496     1.08216  0.00339508
          81     1.04151     1.08165  0.00339004
          82      1.0842     1.08169  0.00334884
          83     1.05974     1.08142  0.00331891
          84     1.08296     1.08144  0.00327945
          85     1.11018     1.08178  0.00325825
          86     1.11677     1.08218  0.00324567
          87     1.04093     1.08171  0.00324282
          88     1.08551     1.08175  0.00320625
          89       1.093     1.08188  0.00317272
          90     1.05509     1.08158  0.00315139
          91     1.08634     1.08163   0.0031172
          92     1.08081     1.08163  0.00308333
          93     1.08074     1.08162  0.00305019
          94     1.09472     1.08176  0.00302093
          95     1.08991     1.08184  0.00299035
          96     1.04679     1.08148   0.0029814
          97     1.11717     1.08184  0.00297328
          98     1.09465     1.08197  0.00294581
          99      1.0452      1.0816  0.00293938
         100      1.0329     1.08112  0.00295006
         101     1.07556     1.08106  0.00292137
         102     1.10232     1.08127  0.00290015
         103     1.07116     1.08117  0.00287365
         104     1.10354     1.08139  0.00285406
         105      1.1497     1.08204  0.00290009
         106     1.08771     1.08209  0.00287323
         107     1.05781     1.08186  0.00285532
         108     1.06089     1.08167  0.00283548
         109     1.07336     1.08159  0.00281049
         110     1.06535     1.08145  0.00278882
         111     1.08391     1.08147  0.00276378
         112     1.09291     1.08157  0.00274099
         113      1.1272     1.08197  0.00274632
         114     1.03895      1.0816  0.00274804
         115     1.05268     1.08135  0.00273563
         116     1.04954     1.08107  0.00272575
         117     1.03762      1.0807  0.00272763
         118     1.09149     1.08079  0.00270605
         119      1.0884     1.08085  0.00268406
         120      1.1018     1.08103  0.00266737
         121     1.08146     1.08103  0.00264533
         122     1.08138     1.08104  0.00262364
         123     1.10543     1.08123   0.0026098
         124     1.06682     1.08112  0.00259134
         125     1.07578     1.08108  0.00257096
         126     1.08922     1.08114  0.00255137
         127     1.09029     1.08121   0.0025323
         128     1.07088     1.08113   0.0025138
         129     1.08031     1.08112  0.00249432
         130     1.13645     1.08155  0.00251118
         131     1.09945     1.08169  0.00249572
         132     1.10173     1.08184  0.00248143
         133     1.07977     1.08182  0.00246282
         134     1.13375     1.08221  0.00247474
         135     1.09787     1.08233  0.00245913
         136     1.08544     1.08235  0.00244115
         137     1.05736     1.08217  0.00243014
         138     1.15102     1.08267  0.00246322
         139     1.03786     1.08234   0.0024665
         140     1.04944     1.08211  0.00246005
         141     1.08554     1.08213  0.00244273
         142     1.04295     1.08186  0.00244106
         143     1.06014     1.08171  0.00242871
         144      1.1029     1.08185   0.0024163
         145     1.06168     1.08171  0.00240364
         146     1.05609     1.08154  0.00239357
         147     1.10975     1.08173  0.00238497
         148     1.08053     1.08172  0.00236887
         149     1.02998     1.08137  0.00237829
         150     1.05148     1.08118  0.00237077
         151     1.07978     1.08117  0.00235509
         152     1.05131     1.08097  0.00234777
         153     1.07087      1.0809  0.00233335
         154     1.10183     1.08104  0.00232215
         155     1.07357     1.08099  0.00230767
         156     1.06244     1.08087  0.00229594
         157     1.06128     1.08075  0.00228471
         158      1.0849     1.08077   0.0022704
         159      1.1097     1.08096   0.0022634
         160     1.04206     1.08071  0.00226227
         161     1.06031     1.08059  0.00225177
         162      1.0732     1.08054  0.00223833
         163     1.07122     1.08048  0.00222533
         164     1.08999     1.08054  0.00221251
         165     1.07671     1.08052  0.00219923
         166     1.12256     1.08077  0.00220052
         167     1.10232      1.0809  0.00219112
         168     1.07259     1.08085  0.00217863
         169     1.05684     1.08071  0.00217037
         170     1.09266     1.08078  0.00215874
         171     1.08922     1.08083  0.00214668
         172     1.11145     1.08101  0.00214157
         173     1.07429     1.08097  0.00212954
         174     1.07227     1.08092  0.00211789
         175     1.08161     1.08092  0.00210579
         176     1.06492     1.08083  0.00209579
         177     1.05754      1.0807  0.00208807
         178     1.07436     1.08066  0.00207665
         179     1.06468     1.08057  0.00206697
         180     1.08475      1.0806  0.00205561
         181     1.06384      1.0805  0.00204634
         182     1.04006     1.08028  0.00204713
         183     1.08197     1.08029  0.00203596
         184     1.12113     1.08051  0.00203696
         185     1.09221     1.08058  0.00202693
