           1     1.01716     1.01716 8.95223e-09
           2    0.876046    0.946604   0.0498922
           3     0.88023    0.924479   0.0378505
           4    0.876619    0.912514   0.0302199
           5    0.907302    0.911472   0.0241939
           6    0.907424    0.910797    0.020171
           7    0.878666    0.906207    0.017804
           8    0.887713    0.903895   0.0157279
           9    0.912988    0.904905   0.0140128
          10    0.876362    0.902051   0.0128989
          11    0.903764    0.902207   0.0117272
          12    0.868053    0.899361     0.01109
          13    0.889052    0.898568   0.0102652
          14    0.889591    0.897927  0.00955197
          15    0.896759    0.897849  0.00891548
          16    0.899054    0.897924  0.00835858
          17    0.907506    0.898488  0.00788588
          18    0.902664     0.89872  0.00745119
          19    0.921394    0.899913  0.00715395
          20    0.894796    0.899657  0.00680083
          21    0.901946    0.899766  0.00647785
          22    0.911671    0.900307  0.00620597
          23    0.892659    0.899975  0.00594504
          24    0.896108    0.899814  0.00569952
          25    0.879011    0.898982  0.00553194
          26    0.914214    0.899567  0.00535011
          27    0.879575    0.898827  0.00520295
          28    0.871267    0.897843  0.00510938
          29    0.842545    0.895936  0.00527702
          30    0.905978    0.896271  0.00511173
          31    0.926764    0.897254  0.00504059
          32    0.919543    0.897951  0.00493096
          33    0.897373    0.897933  0.00478157
          34    0.867253    0.897031  0.00472531
          35    0.874885    0.896398  0.00463247
          36    0.850649    0.895127  0.00467485
          37    0.894471     0.89511  0.00454854
          38    0.901034    0.895266  0.00443151
          39    0.885557    0.895017  0.00432487
          40    0.895674    0.895033  0.00421678
          41    0.873087    0.894498  0.00414777
          42    0.894682    0.894502  0.00404901
          43    0.910525    0.894875  0.00397196
          44    0.898818    0.894964   0.0038827
          45     0.87266    0.894469  0.00382792
          46    0.915285    0.894921  0.00377136
          47    0.902271    0.895078  0.00369436
          48    0.878001    0.894722  0.00363448
          49    0.887402    0.894572  0.00356338
          50    0.893503    0.894551  0.00349217
          51    0.908672    0.894828  0.00343466
          52    0.894255    0.894817  0.00336862
          53    0.889844    0.894723  0.00330637
          54    0.911895    0.895041   0.0032604
          55    0.865415    0.894502  0.00324531
          56    0.880619    0.894255  0.00319681
          57    0.922632    0.894752  0.00317926
          58    0.900972     0.89486  0.00312625
          59    0.899252    0.894934  0.00307415
          60    0.887517     0.89481   0.0030254
          61    0.895704    0.894825  0.00297584
          62    0.883845    0.894648   0.0029331
          63    0.879226    0.894403  0.00289674
          64    0.867077    0.893976  0.00288278
          65    0.872559    0.893647   0.0028572
          66    0.923187    0.894094  0.00284875
          67    0.905552    0.894265  0.00281136
          68    0.910364    0.894502  0.00277996
          69    0.885239    0.894368  0.00274291
          70    0.890074    0.894306  0.00270441
          71    0.876512    0.894056  0.00267791
          72    0.866821    0.893678   0.0026673
          73    0.873314    0.893399  0.00264531
          74    0.873099    0.893124  0.00262375
          75    0.898631    0.893198  0.00258979
          76    0.908775    0.893403  0.00256381
          77    0.903254    0.893531  0.00253371
          78    0.886324    0.893438  0.00250291
          79    0.878577     0.89325  0.00247828
          80    0.916658    0.893543  0.00246452
          81    0.887434    0.893467  0.00243525
          82    0.905715    0.893617  0.00241012
