           1    -5.31277    -5.31277 3.36226e-08
           2    -5.02273    -5.16775    0.102541
           3    -5.03013    -5.12188   0.0779497
           4    -5.00412    -5.09244   0.0637796
           5    -5.04943    -5.08383   0.0516005
           6    -5.09497    -5.08569   0.0430338
           7    -5.11874    -5.09041   0.0371441
           8    -5.03035     -5.0829   0.0332511
           9    -5.00333    -5.07406   0.0307095
          10    -4.99105    -5.06576   0.0287387
          11    -5.05658    -5.06493   0.0261382
          12    -4.97998    -5.05785   0.0249001
          13    -5.05363    -5.05752   0.0229869
          14    -5.00553    -5.05381   0.0216429
          15    -5.03836    -5.05278   0.0202246
          16    -5.10115     -5.0558   0.0191852
          17    -5.05296    -5.05564   0.0180574
          18    -5.02646    -5.05401   0.0171267
          19    -5.06046    -5.05435   0.0162287
          20    -5.08654    -5.05596   0.0154968
          21    -5.05792    -5.05606   0.0147592
          22    -5.13709    -5.05974   0.0145407
          23     -5.0043    -5.05733   0.0141069
          24    -4.98135    -5.05416   0.0138697
          25     -5.0734    -5.05493   0.0133363
          26    -5.05021    -5.05475   0.0128246
          27    -5.00364    -5.05286   0.0124885
          28    -5.04426    -5.05255   0.0120462
          29     -5.0535    -5.05258   0.0116309
          30    -5.04381    -5.05229   0.0112469
          31    -5.07092    -5.05289   0.0109001
          32    -5.01616    -5.05174   0.0106198
          33    -5.03899    -5.05136    0.010305
          34    -5.09391    -5.05261   0.0100776
          35     -5.0959    -5.05385  0.00986531
          36    -5.10939    -5.05539  0.00971116
          37    -5.11459    -5.05699   0.0095796
          38    -4.97817    -5.05492  0.00954941
          39     -5.0173    -5.05395  0.00935314
          40    -4.96295    -5.05168   0.0093919
          41    -5.09213    -5.05266  0.00921449
          42    -5.12108    -5.05429  0.00913796
          43    -5.03708    -5.05389  0.00893421
          44    -5.07495    -5.05437  0.00874397
          45    -5.04418    -5.05414  0.00855259
          46    -5.03562    -5.05374  0.00837614
          47    -5.04338    -5.05352  0.00820082
          48    -5.04037    -5.05325  0.00803454
          49    -5.04515    -5.05308  0.00787227
          50     -5.0483    -5.05299  0.00771541
