           1    0.994507    0.994507 7.41524e-09
           2     0.85496    0.924734   0.0493373
           3     0.86121    0.903559   0.0371586
           4    0.850224    0.890226   0.0301666
           5    0.867262    0.885633   0.0244804
           6    0.889746    0.886318   0.0204099
           7    0.901968    0.888554   0.0176162
           8    0.859451    0.884916   0.0157854
           9    0.846128    0.880606   0.0146079
          10    0.842092    0.876755   0.0136454
          11    0.874138    0.876517    0.012407
          12    0.835493    0.873098   0.0118347
          13    0.869174    0.872797   0.0109282
          14    0.849688    0.871146   0.0102715
          15    0.864918    0.870731  0.00959513
          16    0.894845    0.872238  0.00911304
          17    0.872713    0.872266  0.00857702
          18    0.858668     0.87151  0.00813372
          19    0.873403     0.87161  0.00770624
          20    0.888669    0.872463  0.00736798
          21    0.874113    0.872542  0.00701754
          22    0.911942    0.874332  0.00692332
          23    0.848113    0.873192   0.0067155
          24    0.838099     0.87173  0.00659296
          25    0.882388    0.872156  0.00634301
          26    0.873027     0.87219  0.00609914
          27    0.847073     0.87126  0.00594376
          28    0.868453     0.87116  0.00573233
          29    0.873685    0.871247  0.00553533
          30    0.869272    0.871181  0.00535121
          31    0.882671    0.871551  0.00519141
          32    0.857467    0.871111   0.0050478
          33    0.867027    0.870988  0.00489635
          34    0.891919    0.871603  0.00479089
          35    0.890429    0.872141   0.0046841
          36    0.898634    0.872877  0.00461144
          37    0.899948    0.873609  0.00454448
          38     0.83482    0.872588  0.00453808
          39    0.855484    0.872149  0.00444286
          40    0.831077    0.871122  0.00444886
          41    0.891199    0.871612  0.00436722
          42    0.904888    0.872404  0.00433451
          43    0.863418    0.872195  0.00423874
          44    0.882116    0.872421  0.00414839
          45    0.867273    0.872307  0.00405778
          46    0.863394    0.872113   0.0039742
          47    0.866984    0.872004  0.00389114
          48    0.865253    0.871863  0.00381261
          49    0.868371    0.871792  0.00373547
          50     0.87035    0.871763  0.00366087
          51     0.86402    0.871611  0.00359224
          52      0.8734    0.871645  0.00352332
          53    0.875831    0.871724  0.00345773
          54    0.856154    0.871436   0.0034057
          55    0.815448    0.870418   0.0034926
          56     0.86313    0.870288  0.00343265
          57    0.887153    0.870584  0.00338516
          58    0.896533    0.871031  0.00335623
          59    0.856764    0.870789  0.00330804
          60    0.884708    0.871021  0.00326103
          61    0.859098    0.870826  0.00321343
          62    0.873368    0.870867  0.00316186
          63    0.861158    0.870713  0.00311542
          64     0.87034    0.870707  0.00306675
          65    0.885102    0.870928  0.00302756
          66    0.897763    0.871335  0.00300886
          67    0.856737    0.871117  0.00297183
          68    0.869728    0.871097   0.0029282
          69    0.824565    0.870422   0.0029624
          70    0.890697    0.870712   0.0029342
          71    0.883131    0.870887  0.00289808
          72    0.860593    0.870744  0.00286136
          73    0.886961    0.870966  0.00283077
          74    0.863971    0.870872  0.00279409
          75    0.881954    0.871019  0.00276074
          76    0.886704    0.871226  0.00273212
          77    0.848402    0.870929  0.00271267
          78    0.856085    0.870739  0.00268456
          79    0.848131    0.870453  0.00266579
          80    0.862068    0.870348  0.00263453
          81    0.847971    0.870072  0.00261644
          82    0.870572    0.870078  0.00258454
          83    0.861616    0.869976  0.00255542
          84    0.864753    0.869914  0.00252575
          85    0.904573    0.870321  0.00252873
          86    0.876813    0.870397  0.00250046
          87    0.862862     0.87031  0.00247322
          88    0.871919    0.870329  0.00244518
          89    0.907432    0.870746  0.00245299
          90    0.875548    0.870799  0.00242631
          91    0.886193    0.870968  0.00240554
          92    0.867039    0.870925  0.00237977
          93    0.858937    0.870796  0.00235767
          94    0.901845    0.871127  0.00235561
          95    0.886064    0.871284  0.00233606
          96    0.865913    0.871228  0.00231239
          97    0.898445    0.871509  0.00230552
          98    0.881687    0.871612  0.00228433
          99    0.855385    0.871449  0.00226713
         100     0.88428    0.871577  0.00224808
         101    0.885646    0.871716  0.00223014
         102    0.870885    0.871708  0.00220829
         103    0.831959    0.871322  0.00222031
         104    0.873459    0.871343  0.00219906
         105    0.839104    0.871036  0.00219944
         106    0.856031    0.870894  0.00218325
         107    0.861244    0.870804   0.0021647
         108    0.854228     0.87065  0.00215009
         109    0.862797    0.870578  0.00213157
         110    0.825358    0.870167  0.00215147
         111    0.872139    0.870185  0.00213216
         112    0.839051    0.869907  0.00213117
         113    0.864162    0.869856  0.00211292
         114    0.899001    0.870112  0.00210979
         115    0.886757    0.870257  0.00209641
         116    0.873979    0.870289  0.00207858
         117    0.863762    0.870233  0.00206156
         118    0.884603    0.870355  0.00204768
         119    0.893423    0.870549  0.00203963
         120    0.866129    0.870512  0.00202297
         121    0.902671    0.870778  0.00202363
         122    0.863176    0.870715    0.002008
         123    0.904586    0.870991  0.00201047
         124    0.881877    0.871078  0.00199617
         125     0.90986    0.871389  0.00200417
         126    0.894268     0.87157  0.00199647
         127    0.861114    0.871488  0.00198245
         128    0.889815    0.871631  0.00197213
         129    0.852844    0.871485  0.00196221
         130    0.873737    0.871503  0.00194719
         131    0.856292    0.871387  0.00193578
         132    0.839847    0.871148  0.00193581
         133    0.834395    0.870871  0.00194088
         134    0.847334    0.870696  0.00193433
         135    0.857301    0.870596  0.00192254
         136    0.860339    0.870521  0.00190988
         137    0.845991    0.870342  0.00190432
         138    0.844977    0.870158  0.00189937
         139    0.856488     0.87006  0.00188825
         140    0.865804    0.870029    0.001875
         141    0.872378    0.870046  0.00186178
         142     0.85076     0.86991  0.00185362
         143     0.86774    0.869895  0.00184072
         144    0.871905    0.869909  0.00182799
         145    0.821242    0.869573  0.00184594
         146    0.838235    0.869359  0.00184573
         147    0.852453    0.869244  0.00183675
         148    0.869691    0.869247  0.00182435
         149     0.86576    0.869223  0.00181225
         150    0.871634    0.869239  0.00180024
         151    0.857334    0.869161  0.00179004
         152    0.874009    0.869193  0.00177855
         153    0.844532    0.869031  0.00177422
         154    0.893749    0.869192  0.00176994
         155    0.891976    0.869339  0.00176461
         156    0.857913    0.869266  0.00175482
         157    0.821834    0.868964  0.00176946
         158    0.876988    0.869014  0.00175899
         159    0.883637    0.869106  0.00175033
         160    0.866069    0.869087  0.00173949
         161    0.891656    0.869227  0.00173433
         162    0.871564    0.869242  0.00172368
         163    0.849422     0.86912  0.00171739
         164    0.887129     0.86923  0.00171043
         165    0.879535    0.869293   0.0017012
         166    0.877642    0.869343  0.00169169
         167    0.863602    0.869308  0.00168191
         168    0.861604    0.869263  0.00167253
         169    0.863856    0.869231  0.00166294
         170    0.874221     0.86926  0.00165341
         171    0.852614    0.869163  0.00164661
         172     0.87816    0.869215  0.00163787
         173     0.88183    0.869288  0.00163002
         174    0.848434    0.869168  0.00162505
         175    0.872124    0.869185  0.00161585
         176    0.889739    0.869302  0.00161089
         177    0.876303    0.869341  0.00160227
         178    0.858603    0.869281  0.00159441
         179    0.860792    0.869233   0.0015862
         180    0.873767    0.869259  0.00157759
         181    0.889255    0.869369  0.00157274
         182    0.913358    0.869611  0.00158256
         183    0.847213    0.869488  0.00157864
         184    0.872868    0.869507  0.00157017
         185    0.839577    0.869345  0.00156999
         186    0.891878    0.869466  0.00156622
         187    0.859553    0.869413  0.00155874
         188     0.88594    0.869501  0.00155292
         189    0.875308    0.869532  0.00154501
         190    0.856888    0.869465  0.00153831
         191     0.87071    0.869472  0.00153027
         192    0.873145    0.869491  0.00152242
         193     0.88287     0.86956  0.00151611
         194    0.834216    0.869378   0.0015192
         195    0.840906    0.869232  0.00151841
         196    0.857204    0.869171   0.0015119
         197    0.853362     0.86909  0.00150636
         198    0.869202    0.869091  0.00149875
         199    0.846999     0.86898  0.00149532
         200    0.893151    0.869101  0.00149272
