           1   -0.034071   -0.034071 1.37676e-10
           2  -0.0517676  -0.0429193  0.00625672
           3   -0.122095  -0.0693111   0.0219488
           4   -0.230741   -0.109669   0.0386332
           5   -0.291625    -0.14606   0.0448852
           6   -0.300494   -0.171799    0.044172
           7   -0.342398    -0.19617   0.0440751
           8   -0.348638   -0.215229   0.0424869
           9   -0.336046   -0.228653   0.0398305
          10   -0.310288   -0.236816   0.0366745
          11   -0.334063   -0.245657   0.0343895
          12   -0.363579   -0.255484   0.0328977
          13   -0.355646   -0.263188   0.0312564
          14   -0.353443   -0.269635   0.0296812
          15    -0.35795   -0.275523   0.0282803
          16   -0.357378   -0.280639   0.0269716
          17   -0.354237   -0.284968   0.0257301
          18   -0.356882   -0.288963   0.0246089
          19    -0.37216   -0.293342   0.0237001
          20   -0.359038   -0.296627   0.0227415
          21   -0.352165   -0.299272   0.0218118
          22   -0.375755   -0.302748   0.0210956
          23   -0.375458   -0.305909   0.0204139
          24   -0.377081   -0.308875   0.0197776
          25   -0.347434   -0.310417   0.0190465
          26   -0.327819   -0.311086   0.0183257
          27    -0.31839   -0.311357    0.017649
          28   -0.365958   -0.313307    0.017126
          29   -0.408454   -0.316588   0.0168468
          30   -0.402341   -0.319446    0.016526
          31   -0.383773   -0.321521   0.0161226
          32   -0.378746    -0.32331   0.0157177
          33   -0.354244   -0.324247   0.0152693
          34   -0.312646   -0.323906    0.014824
          35   -0.306749   -0.323416   0.0144086
          36   -0.348326   -0.324108    0.014025
          37   -0.359052   -0.325052   0.0136777
          38   -0.329648   -0.325173   0.0133183
          39   -0.296474   -0.324437   0.0129971
          40   -0.321784   -0.324371   0.0126723
          41   -0.332618   -0.324572   0.0123648
          42   -0.311088   -0.324251   0.0120746
          43   -0.299491   -0.323675   0.0118075
          44   -0.313517   -0.323444   0.0115414
          45   -0.343556   -0.323891   0.0112936
          46   -0.356878   -0.324608   0.0110708
          47   -0.336446    -0.32486   0.0108381
          48   -0.339843   -0.325172   0.0106168
          49   -0.358331   -0.325849   0.0104217
          50   -0.380063   -0.326933   0.0102695
          51   -0.401469   -0.328395   0.0101716
          52   -0.392354   -0.329625   0.0100501
          53   -0.388854   -0.330742  0.00992242
          54   -0.387574   -0.331795  0.00979433
          55   -0.379355   -0.332659  0.00965435
          56    -0.38451   -0.333585  0.00952625
          57   -0.397219   -0.334702  0.00942431
          58   -0.414505   -0.336078  0.00936172
          59   -0.423222   -0.337555  0.00931883
          60   -0.382466   -0.338303  0.00919353
          61   -0.385472   -0.339076  0.00907528
          62   -0.432325    -0.34058  0.00905267
          63    -0.46853   -0.342611  0.00913396
          64   -0.444665   -0.344206  0.00912937
          65   -0.444563    -0.34575  0.00911854
          66    -0.45656   -0.347429  0.00913364
          67   -0.501838   -0.349734  0.00928352
          68   -0.501917   -0.351972  0.00941289
          69   -0.462477   -0.353573  0.00941173
          70   -0.437748   -0.354776  0.00935378
          71   -0.436377   -0.355925  0.00929237
          72   -0.406975   -0.356634  0.00919032
          73   -0.376308   -0.356903  0.00906838
          74   -0.398385   -0.357464  0.00896314
