           1  -0.0340457  -0.0340457 2.27264e-10
           2   -0.051481  -0.0427633  0.00616432
           3   -0.120919  -0.0688152   0.0216646
           4   -0.229906   -0.109088   0.0384763
           5   -0.290112   -0.145293   0.0446778
           6   -0.299863   -0.171054   0.0440368
           7   -0.342088   -0.195488   0.0440051
           8   -0.350145    -0.21482   0.0425395
           9   -0.340692   -0.228806    0.040046
          10   -0.311756   -0.237101   0.0368905
          11   -0.333653   -0.245878   0.0345653
          12   -0.368827   -0.256124   0.0331686
          13   -0.356936   -0.263879   0.0315107
          14   -0.347669   -0.269864   0.0298229
          15   -0.358304    -0.27576   0.0284115
          16    -0.37908   -0.282217   0.0273598
          17   -0.398892    -0.28908   0.0265973
          18   -0.369494   -0.293548   0.0254921
          19   -0.357309   -0.296904   0.0243703
          20   -0.386701   -0.301394   0.0235618
          21   -0.371627   -0.304738   0.0226759
          22   -0.373556   -0.307866   0.0218599
          23   -0.354435   -0.309891    0.021003
          24   -0.359838   -0.311972   0.0202307
          25   -0.410598   -0.315917   0.0198024
          26   -0.440563   -0.320711   0.0196125
          27    -0.40231   -0.323733   0.0191175
          28   -0.385326   -0.325933   0.0185609
          29   -0.383608   -0.327922   0.0180271
          30   -0.373106   -0.329428    0.017489
          31     -0.4209   -0.332379   0.0171719
          32   -0.473171   -0.336778   0.0171897
          33   -0.479183   -0.341094    0.017202
          34   -0.463319   -0.344689   0.0170675
          35   -0.416399   -0.346737   0.0167024
          36   -0.410764   -0.348516   0.0163329
          37   -0.395871   -0.349796   0.0159415
          38   -0.393755   -0.350953   0.0155639
          39     -0.4233   -0.352808    0.015275
          40   -0.444769   -0.355107   0.0150651
          41   -0.441604   -0.357216   0.0148447
          42   -0.432514   -0.359009   0.0145991
          43   -0.429584   -0.360651   0.0143515
          44   -0.416554   -0.361921   0.0140815
          45   -0.423287   -0.363285   0.0138344
          46    -0.41646   -0.364441   0.0135819
          47   -0.408341   -0.365375    0.013325
          48    -0.40553   -0.366211   0.0130736
          49   -0.391902   -0.366736   0.0128173
          50   -0.398015   -0.367361   0.0125762
          51   -0.387351   -0.367753   0.0123358
          52   -0.390988     -0.3682   0.0121066
          53   -0.392508   -0.368659   0.0118869
          54   -0.428491   -0.369767   0.0117183
          55   -0.427402   -0.370815    0.011552
          56    -0.40729   -0.371466    0.011364
          57   -0.374459   -0.371518   0.0111648
          58   -0.347855    -0.37111   0.0109797
          59   -0.307049   -0.370025   0.0108472
          60   -0.309275   -0.369012   0.0107136
          61   -0.333201   -0.368425    0.010554
          62   -0.345357   -0.368053   0.0103903
          63   -0.359759   -0.367921   0.0102262
          64   -0.376125    -0.36805   0.0100673
          65   -0.394307   -0.368454  0.00992048
          66   -0.360243   -0.368329  0.00977095
          67   -0.333518    -0.36781  0.00963892
          68   -0.340319   -0.367405  0.00950565
          69   -0.341741   -0.367033  0.00937516
          70   -0.361551   -0.366955  0.00924156
          71   -0.380638   -0.367148   0.0091134
          72   -0.385768   -0.367406   0.0089905
          73   -0.394993   -0.367784  0.00887528
          74   -0.374213   -0.367871  0.00875577
          75   -0.360549   -0.367773  0.00863957
          76   -0.382275   -0.367964  0.00852799
          77   -0.394381   -0.368307  0.00842414
          78   -0.423275   -0.369012  0.00834556
          79   -0.441368   -0.369928  0.00829003
          80   -0.458452   -0.371035  0.00825992
          81   -0.451548   -0.372029  0.00821754
          82   -0.436557   -0.372815  0.00815492
          83    -0.41911   -0.373373  0.00807572
          84   -0.391904   -0.373594  0.00798259
          85   -0.368083   -0.373529  0.00788894
          86   -0.324522   -0.372959  0.00781776
          87   -0.312893   -0.372269  0.00775833
          88   -0.304295   -0.371496  0.00770852
          89   -0.330733   -0.371038   0.0076355
          90   -0.373433   -0.371065  0.00755071
          91   -0.397298   -0.371353  0.00747324
          92   -0.386819   -0.371521   0.0073939
          93   -0.405823    -0.37189  0.00732359
          94   -0.410457     -0.3723  0.00725716
          95   -0.407278   -0.372669   0.0071901
          96     -0.4258   -0.373222  0.00713648
          97    -0.42272   -0.373732  0.00708112
          98   -0.413164   -0.374135  0.00702029
          99   -0.390803   -0.374303   0.0069514
         100   -0.360892   -0.374169  0.00688318
         101   -0.383216   -0.374258  0.00681561
         102   -0.415611   -0.374664  0.00676084
         103   -0.420968   -0.375113  0.00671013
         104   -0.431111   -0.375652  0.00666717
         105    -0.46613   -0.376514  0.00665913
         106   -0.484953   -0.377537  0.00667442
         107   -0.471522   -0.378415  0.00666959
         108   -0.484768     -0.3794  0.00668014
         109   -0.508126   -0.380581  0.00672244
         110   -0.497039   -0.381639  0.00674418
         111   -0.469951   -0.382435  0.00673018
         112   -0.432194   -0.382879  0.00668474
         113   -0.410341   -0.383122     0.00663
         114   -0.426856   -0.383506  0.00658293
         115   -0.432819   -0.383935  0.00653964
         116   -0.459744   -0.384588  0.00651584
         117   -0.483061    -0.38543  0.00651427
         118   -0.481162   -0.386241  0.00650939
         119    -0.46111    -0.38687  0.00648502
         120   -0.454006    -0.38743  0.00645507
         121   -0.464793   -0.388069  0.00643331
         122   -0.498338   -0.388973  0.00644376
         123   -0.488118   -0.389779  0.00644159
         124   -0.450131   -0.390266    0.006408
         125   -0.442184   -0.390681  0.00637018
         126   -0.450849   -0.391159   0.0063375
         127   -0.418054    -0.39137  0.00629113
         128   -0.404172    -0.39147  0.00624278
         129    -0.42059   -0.391696  0.00619846
         130   -0.401957   -0.391775  0.00615129
         131   -0.400321    -0.39184  0.00610468
         132   -0.416268   -0.392025  0.00606123
         133   -0.398954   -0.392078  0.00601588
         134   -0.385831   -0.392031  0.00597117
         135    -0.38404   -0.391972  0.00592723
         136    -0.40482   -0.392066   0.0058844
         137   -0.437587   -0.392398  0.00585082
