           1     1.47211     1.47211 1.21102e-08
           2      1.4903      1.4812  0.00643096
           3     1.56369      1.5087   0.0228563
           4     1.67144     1.54939    0.039183
           5     1.73401     1.58631   0.0455346
           6     1.74053     1.61202   0.0446143
           7     1.77896     1.63586   0.0441577
           8     1.78154     1.65407   0.0422258
           9      1.7592     1.66575   0.0391164
          10     1.74305     1.67348   0.0359603
          11     1.76084     1.68143   0.0335565
          12     1.77426     1.68916   0.0316394
          13     1.76184     1.69475   0.0296954
          14     1.77633     1.70058   0.0281401
          15     1.76157     1.70464   0.0265562
          16     1.75014     1.70749   0.0250483
          17     1.74694     1.70981   0.0236821
          18     1.75509     1.71232   0.0224996
          19     1.74694     1.71415    0.021389
          20     1.78374     1.71763   0.0206007
          21     1.81401     1.72222   0.0201244
          22     1.80304     1.72589   0.0195422
          23     1.78996     1.72867     0.01889
          24      1.7942      1.7314   0.0182991
          25     1.78227     1.73344   0.0176799
          26     1.79112     1.73566   0.0171385
          27     1.81581     1.73863   0.0167589
          28     1.81979     1.74152   0.0164091
          29     1.80934     1.74386    0.016009
          30     1.76934     1.74471   0.0154979
          31     1.77164     1.74558   0.0150223
          32     1.78335     1.74676   0.0145992
          33     1.81792     1.74892   0.0143151
          34      1.8524     1.75196   0.0142139
          35     1.87781     1.75556   0.0142554
          36     1.89665     1.75948   0.0143881
          37     1.91144     1.76358   0.0145736
          38     1.89718      1.7671    0.014608
          39     1.83388     1.76881   0.0143335
          40     1.80265     1.76966   0.0140001
          41     1.81965     1.77088   0.0137116
          42     1.80506     1.77169   0.0134093
          43     1.80221      1.7724   0.0131162
          44     1.78709     1.77273   0.0128223
          45     1.77701     1.77283   0.0125377
          46      1.7918     1.77324    0.012272
          47     1.80071     1.77383   0.0120248
          48      1.7873     1.77411   0.0117775
          49     1.80124     1.77466   0.0115502
          50     1.80928     1.77535   0.0113399
          51     1.78865     1.77561   0.0111206
          52     1.78822     1.77586   0.0109094
          53     1.84255     1.77711   0.0107759
          54     1.85426     1.77854   0.0106706
          55     1.84749      1.7798     0.01055
          56     1.85006     1.78105   0.0104359
          57     1.83937     1.78208   0.0103029
          58     1.80133     1.78241   0.0101306
          59     1.80063     1.78272  0.00996358
          60     1.81694     1.78329  0.00981383
          61     1.84911     1.78437  0.00971209
          62     1.85313     1.78547  0.00961856
          63     1.82551     1.78611  0.00948686
          64     1.80998     1.78648  0.00934596
          65     1.79824     1.78666  0.00920393
          66     1.84723     1.78758   0.0091101
          67     1.90801     1.78938  0.00914972
          68      1.9541      1.7918  0.00933033
          69     1.95593     1.79418  0.00949347
          70       1.958     1.79652  0.00964201
          71     1.88513     1.79777  0.00958664
          72     1.84654     1.79845   0.0094774
          73      1.8656     1.79937  0.00939211
          74     1.85991     1.80018  0.00930076
          75     1.80461     1.80024  0.00917694
          76     1.82158     1.80052  0.00906049
          77     1.82246     1.80081  0.00894729
          78     1.81729     1.80102  0.00883508
          79     1.82813     1.80136  0.00872991
          80     1.85335     1.80201  0.00864493
          81     1.85548     1.80267  0.00856337
          82     1.87141     1.80351  0.00849987
          83     1.84773     1.80404  0.00841414
          84     1.81369     1.80416  0.00831476
          85     1.81709     1.80431  0.00821833
          86     1.85317     1.80488  0.00814237
          87     1.84166      1.8053  0.00805975
          88     1.84173     1.80572  0.00797878
          89     1.83352     1.80603  0.00789525
          90     1.82089     1.80619  0.00780925
          91     1.84055     1.80657  0.00773256
          92     1.84176     1.80695  0.00765796
          93      1.8102     1.80699   0.0075757
          94     1.78764     1.80678   0.0074979
          95     1.80321     1.80674  0.00741907
          96     1.81343     1.80681  0.00734211
          97      1.8203     1.80695  0.00726774
          98      1.8232     1.80712  0.00719547
          99      1.8184     1.80723  0.00712369
         100     1.80414      1.8072  0.00705252
         101     1.79316     1.80706  0.00698406
         102     1.79387     1.80693  0.00691679
         103     1.81341       1.807  0.00684992
         104     1.83824      1.8073  0.00679064
         105     1.83277     1.80754   0.0067303
         106     1.82831     1.80774  0.00666966
         107      1.8381     1.80802  0.00661336
         108     1.84854     1.80839  0.00656276
         109      1.8369     1.80866  0.00650776
         110     1.85616     1.80909  0.00646291
         111     1.86228     1.80957  0.00642243
         112     1.85825        1.81  0.00637978
         113     1.83488     1.81022  0.00632711
         114     1.80421     1.81017  0.00627183
         115     1.78958     1.80999  0.00621985
         116     1.80284     1.80993  0.00616654
         117     1.81377     1.80996  0.00611392
         118      1.8097     1.80996  0.00606211
         119     1.78712     1.80977   0.0060142
         120     1.77453     1.80947  0.00597125
         121     1.76975     1.80915  0.00593091
         122     1.77811     1.80889  0.00588775
         123     1.79532     1.80878  0.00584092
         124     1.78566     1.80859  0.00579679
         125     1.80228     1.80854  0.00575064
         126     1.82114     1.80864  0.00570586
         127     1.85045     1.80897  0.00567042
         128     1.85406     1.80933  0.00563705
         129     1.85068     1.80965  0.00560246
         130      1.8355     1.80984   0.0055629
         131     1.80911     1.80984  0.00552043
         132     1.78264     1.80963  0.00548246
         133     1.79946     1.80956  0.00544177
         134     1.82112     1.80964  0.00540184
         135     1.81228     1.80966  0.00536186
         136     1.81143     1.80968  0.00532245
         137     1.79938      1.8096  0.00528413
         138     1.79551      1.8095  0.00524683
         139     1.80435     1.80946  0.00520921
         140     1.83013     1.80961   0.0051741
         141      1.8306     1.80976  0.00513954
         142     1.79972     1.80969  0.00510384
         143     1.81252     1.80971  0.00506818
         144     1.79794     1.80963  0.00503365
         145     1.82181     1.80971  0.00499963
         146     1.85521     1.81002  0.00497509
         147     1.84771     1.81028  0.00494785
         148     1.83502     1.81044  0.00491724
         149     1.84549     1.81068  0.00488986
         150     1.82436     1.81077  0.00485811
         151     1.79399     1.81066  0.00482721
         152     1.83588     1.81083   0.0047983
         153     1.86659     1.81119  0.00478076
         154     1.83821     1.81137  0.00475294
         155     1.79542     1.81126  0.00472338
         156     1.79623     1.81117  0.00469409
         157     1.81465     1.81119  0.00466424
         158     1.80337     1.81114  0.00463498
         159     1.81027     1.81113  0.00460584
         160     1.81099     1.81113  0.00457705
         161     1.78367     1.81096   0.0045518
         162     1.76907      1.8107  0.00453104
         163     1.77276     1.81047  0.00450922
         164      1.7845     1.81031   0.0044845
         165      1.8323     1.81045  0.00445931
         166     1.83599      1.8106   0.0044351
         167     1.78944     1.81047  0.00441035
         168     1.76357     1.81019  0.00439293
         169     1.77727        1.81  0.00437125
         170     1.80196     1.80995  0.00434579
         171      1.8221     1.81002  0.00432096
         172     1.83489     1.81017  0.00429826
         173     1.86049     1.81046  0.00428324
         174      1.8559     1.81072  0.00426658
         175     1.83049     1.81083  0.00424369
         176      1.8323     1.81095  0.00422134
         177     1.81886       1.811  0.00419772
         178     1.79137     1.81089  0.00417559
         179     1.83288     1.81101  0.00415407
         180     1.85888     1.81128  0.00413949
         181     1.87901     1.81165   0.0041335
         182     1.88084     1.81203  0.00412824
         183      1.8723     1.81236  0.00411879
         184     1.82786     1.81245  0.00409727
         185     1.82384     1.81251  0.00407559
         186     1.83777     1.81264  0.00405594
         187     1.81661     1.81266   0.0040343
         188     1.82802     1.81275  0.00401367
         189     1.82203     1.81279  0.00399273
         190     1.82848     1.81288  0.00397257
         191      1.8417     1.81303  0.00395464
         192     1.85608     1.81325  0.00394039
         193     1.88625     1.81363  0.00393808
         194     1.88348     1.81399  0.00393421
         195     1.85749     1.81421  0.00392035
         196     1.85944     1.81444  0.00390714
         197     1.86723     1.81471  0.00389648
         198     1.85088     1.81489  0.00388108
         199     1.85085     1.81508  0.00386578
         200     1.88167     1.81541  0.00386076
         201     1.90533     1.81586  0.00386739
         202     1.89568     1.81625  0.00386838
         203     1.85016     1.81642  0.00385293
         204      1.8292     1.81648  0.00383455
         205     1.82159     1.81651  0.00381593
         206     1.81278     1.81649  0.00379744
         207     1.80358     1.81643  0.00377961
         208     1.80872     1.81639  0.00376162
         209     1.80315     1.81632  0.00374416
         210     1.79146     1.81621   0.0037282
         211     1.80895     1.81617  0.00371069
         212      1.7743     1.81597  0.00369844
         213     1.76656     1.81574  0.00368834
         214     1.76519     1.81551  0.00367867
         215     1.77885     1.81534   0.0036655
         216     1.75084     1.81504  0.00366067
         217     1.73279     1.81466  0.00366337
         218     1.73596      1.8143  0.00366432
         219     1.76844     1.81409  0.00365356
         220     1.77095     1.81389  0.00364221
         221     1.77156      1.8137  0.00363076
         222     1.79834     1.81363  0.00361507
         223     1.77318     1.81345  0.00360341
         224     1.76919     1.81325  0.00359273
         225     1.80234      1.8132  0.00357709
         226      1.8124      1.8132  0.00356126
         227     1.75885     1.81296  0.00355362
         228     1.76804     1.81276  0.00354349
         229     1.83662     1.81287  0.00352955
         230     1.87725     1.81315  0.00352528
         231     1.85711     1.81334  0.00351515
         232     1.82812      1.8134  0.00350058
         233     1.79986     1.81334  0.00348604
         234     1.81035     1.81333  0.00347116
         235      1.8612     1.81353  0.00346237
         236     1.86728     1.81376  0.00345518
         237     1.84764     1.81391  0.00344356
         238     1.81582     1.81391   0.0034291
         239     1.81166      1.8139  0.00341476
         240     1.81469     1.81391  0.00340053
         241     1.83798     1.81401  0.00338789
         242     1.82655     1.81406  0.00337429
         243     1.81925     1.81408  0.00336047
         244     1.83193     1.81415  0.00334749
         245     1.80522     1.81412  0.00333403
         246     1.82136     1.81415  0.00332061
