           1  -0.0341216  -0.0341216 2.94541e-10
           2  -0.0523471  -0.0432343   0.0064437
           3   -0.124398  -0.0702888   0.0225037
           4   -0.232453    -0.11083   0.0389557
           5   -0.294504   -0.147565   0.0452857
           6     -0.3019   -0.173287    0.044447
           7   -0.342559   -0.197469   0.0441886
           8    -0.34612    -0.21605   0.0423921
           9   -0.328065   -0.228496   0.0394667
          10   -0.307384   -0.236385   0.0362998
          11   -0.327723   -0.244689   0.0339363
          12   -0.350025   -0.253467   0.0322235
          13    -0.34187   -0.260267   0.0304539
          14   -0.357059   -0.267181   0.0290528
          15   -0.347574    -0.27254   0.0276059
          16   -0.332438   -0.276284   0.0261331
          17   -0.324561   -0.279124   0.0247497
          18   -0.335397    -0.28225   0.0235713
          19   -0.338174   -0.285193   0.0225137
          20   -0.382418   -0.290055   0.0219066
          21   -0.378258   -0.294255   0.0212623
          22   -0.345213   -0.296571   0.0204216
          23   -0.340679   -0.298489   0.0196235
          24   -0.360792   -0.301085   0.0189768
          25   -0.367922   -0.303758   0.0184051
          26   -0.337351    -0.30505   0.0177425
          27   -0.333535   -0.306105   0.0171167
          28   -0.374663   -0.308554   0.0166796
          29   -0.375048   -0.310847   0.0162613
          30   -0.399093   -0.313788   0.0159831
          31   -0.443457   -0.317971   0.0160055
          32    -0.43601    -0.32166   0.0159247
          33   -0.398467   -0.323987   0.0156113
          34   -0.387876   -0.325866   0.0152648
          35   -0.412683   -0.328347   0.0150289
          36   -0.463575   -0.332103   0.0150735
          37   -0.439295      -0.335   0.0149419
          38   -0.405457   -0.336854   0.0146633
          39   -0.379315   -0.337943   0.0143277
          40   -0.404394   -0.339604   0.0140655
          41   -0.445028   -0.342176   0.0139555
          42   -0.428924   -0.344241   0.0137752
          43   -0.436049   -0.346376   0.0136193
          44   -0.412107    -0.34787   0.0133914
          45   -0.369224   -0.348345   0.0131023
          46    -0.36203   -0.348642   0.0128208
          47   -0.338653    -0.34843   0.0125498
          48   -0.331646    -0.34808   0.0122932
          49     -0.3455   -0.348027   0.0120424
          50   -0.347604   -0.348019   0.0118016
          51   -0.345284   -0.347965   0.0115703
          52   -0.354249   -0.348086   0.0113484
          53   -0.384683   -0.348777   0.0111553
          54   -0.403116   -0.349783    0.010994
          55   -0.399172   -0.350681   0.0108307
          56   -0.440057   -0.352277   0.0107543
          57   -0.413631   -0.353353   0.0106193
          58   -0.356182   -0.353402   0.0104364
          59   -0.359999   -0.353514   0.0102601
          60   -0.390554   -0.354131   0.0101076
          61   -0.437104   -0.355491    0.010033
          62   -0.476864   -0.357449   0.0100604
          63   -0.478531   -0.359371   0.0100826
          64   -0.470308   -0.361104    0.010073
          65   -0.428398    -0.36214  0.00997105
          66   -0.404432    -0.36278  0.00984054
          67    -0.39765   -0.363301  0.00970742
          68   -0.391741   -0.363719  0.00957367
          69   -0.409497   -0.364383  0.00945788
          70   -0.384607   -0.364671  0.00932718
          71   -0.369954   -0.364746  0.00919611
          72    -0.37661   -0.364911  0.00906986
          73   -0.384999   -0.365186  0.00894979
          74    -0.36972   -0.365247  0.00882906
          75   -0.402745   -0.365747  0.00872548
          76    -0.41978   -0.366458  0.00863959
          77   -0.413327   -0.367067   0.0085488
          78   -0.406331    -0.36757  0.00845401
          79   -0.378706   -0.367711  0.00834817
          80   -0.336428    -0.36732  0.00825297
          81   -0.337265   -0.366949  0.00815942
          82   -0.367865    -0.36696  0.00805992
          83    -0.36122   -0.366891  0.00796311
          84   -0.370231   -0.366931  0.00786841
          85   -0.389519   -0.367196  0.00778033
          86   -0.405517   -0.367642  0.00770261
          87   -0.375269    -0.36773  0.00761457
          88   -0.408036   -0.368188  0.00754181
          89   -0.452132   -0.369131  0.00751582
          90   -0.451928   -0.370051   0.0074884
          91    -0.42318   -0.370635  0.00742883
          92   -0.395112   -0.370901  0.00735285
          93   -0.381262   -0.371012  0.00727463
          94   -0.386441   -0.371176  0.00719909
          95   -0.403406   -0.371516   0.0071313
          96   -0.411621   -0.371933  0.00706924
          97   -0.390357   -0.372123  0.00699892
          98   -0.399024   -0.372398  0.00693288
          99   -0.400333    -0.37268  0.00686859
         100    -0.38653   -0.372818   0.0068013
         101   -0.366251   -0.372753  0.00673427
         102   -0.393534   -0.372957  0.00667133
