           1  -0.0342484  -0.0342484 3.15391e-10
           2  -0.0538322  -0.0440403  0.00692391
           3   -0.129813  -0.0726312   0.0237964
           4    -0.23793   -0.113956   0.0399915
           5   -0.299515   -0.151068    0.046102
           6   -0.305702    -0.17684   0.0450498
           7   -0.338488   -0.199933   0.0441376
           8   -0.343063   -0.217824   0.0420906
           9   -0.316217   -0.228756   0.0388078
          10   -0.305701   -0.236451   0.0356816
          11   -0.312299   -0.243346   0.0330974
          12   -0.333572   -0.250865   0.0311816
          13   -0.334594   -0.257306   0.0294407
          14   -0.325488   -0.262176   0.0277377
          15   -0.318754   -0.265948   0.0261437
          16   -0.344935   -0.270884   0.0249715
          17   -0.333916   -0.274592   0.0237762
          18   -0.339035   -0.278172   0.0227233
          19   -0.357492   -0.282347   0.0219074
          20   -0.370011    -0.28673    0.021246
          21   -0.360702   -0.290253   0.0205242
          22    -0.36911   -0.293837   0.0199019
          23   -0.366202   -0.296984   0.0192837
          24   -0.340562   -0.298799   0.0185655
          25    -0.34867   -0.300794   0.0179297
          26   -0.372226   -0.303541   0.0174493
          27   -0.383701    -0.30651   0.0170537
          28   -0.379073   -0.309102   0.0166404
          29   -0.437862   -0.313542   0.0166484
          30   -0.448892   -0.318054   0.0166936
          31   -0.437061   -0.321892   0.0165906
          32   -0.424648   -0.325104     0.01638
          33   -0.419087   -0.327952   0.0161293
          34    -0.42573   -0.330827   0.0159092
          35   -0.448428   -0.334187   0.0158055
          36   -0.402859   -0.336095   0.0154812
          37   -0.366341   -0.336912   0.0150843
          38   -0.358819   -0.337489   0.0146984
          39   -0.341308   -0.337587   0.0143218
          40   -0.350088   -0.337899   0.0139672
          41   -0.358994   -0.338414    0.013636
          42   -0.370685   -0.339182    0.013333
          43   -0.395596   -0.340494   0.0130873
          44   -0.379903    -0.34139   0.0128204
          45   -0.380563    -0.34226   0.0125651
          46   -0.391622   -0.343333   0.0123377
          47   -0.377624   -0.344063   0.0120967
          48   -0.377039    -0.34475   0.0118642
          49   -0.368156   -0.345228   0.0116317
          50   -0.361943   -0.345562   0.0114038
          51   -0.400214   -0.346634   0.0112305
          52   -0.424952    -0.34814    0.011115
          53   -0.402702   -0.349169   0.0109529
          54   -0.363814    -0.34944   0.0107534
          55   -0.359547   -0.349624   0.0105595
          56   -0.367351   -0.349941   0.0103756
          57   -0.362758   -0.350166   0.0101961
          58   -0.384388   -0.350756   0.0100373
          59   -0.409994    -0.35176  0.00991728
          60    -0.42649   -0.353005  0.00982989
          61   -0.405277   -0.353862  0.00970603
          62   -0.394959   -0.354525  0.00957209
          63   -0.403983    -0.35531  0.00945229
          64   -0.404121   -0.356073  0.00933531
          65   -0.413806   -0.356961  0.00923385
          66    -0.37849   -0.357287   0.0090997
          67   -0.380215   -0.357629  0.00897032
          68   -0.430696   -0.358704  0.00890252
          69   -0.443432   -0.359932  0.00885778
          70   -0.468229   -0.361479  0.00886532
          71    -0.45063   -0.362734  0.00882894
          72   -0.440533   -0.363815  0.00877218
          73   -0.462839   -0.365172  0.00875627
          74   -0.457772   -0.366423   0.0087269
          75   -0.453752   -0.367587  0.00868787
          76   -0.447537   -0.368639  0.00863701
          77   -0.440316    -0.36957  0.00857486
          78   -0.464198   -0.370783  0.00855032
          79   -0.453063   -0.371825  0.00850528
          80   -0.412619   -0.372335  0.00841424
          81   -0.359366   -0.372175  0.00831188
          82   -0.361092   -0.372039  0.00821161
          83   -0.389565   -0.372251  0.00811539
          84   -0.419463   -0.372813  0.00803822
