 0  0 0
 0.00649578  0 0
 0.0129916  0 0
 0.0194873  0 0
 0.0259831  0 0
 0.0324789  0 0
 0.0389747  0 0
 0.0454705  0 0
 0.0519663  0 0
 0.058462  0 0
 0.0649578  0 0
 0.0714536  0 0
 0.0779494  0 0
 0.0844452  0 0
 0.090941  0 0
 0.0974367  0 0
 0.103933  0 0
 0.110428  0 0
 0.116924  0 0
 0.12342  0 0
 0.129916  0 0
 0.136411  0 0
 0.142907  0 0
 0.149403  0 0
 0.155899  0 0
 0.162395  0 0
 0.16889  0 0
 0.175386  0 0
 0.181882  0 0
 0.188378  0 0
 0.194873  0 0
 0.201369  0 0
 0.207865  0 0
 0.214361  0 0
 0.220857  0 0
 0.227352  0 0
 0.233848  0 0
 0.240344  0 0
 0.24684  0 0
 0.253336  0 0
 0.259831  0 0
 0.266327  0 0
 0.272823  0 0
 0.279319  0 0
 0.285814  0 0
 0.29231  0 0
 0.298806  0 0
 0.305302  0 0
 0.311798  0 0
 0.318293  0 0
 0.324789  0 0
 0.331285  0 0
 0.337781  0 0
 0.344276  0 0
 0.350772  0 0
 0.357268  0 0
 0.363764  0 0
 0.37026  0 0
 0.376755  0 0
 0.383251  0 0
 0.389747  0 0
 0.396243  0 0
 0.402739  0 0
 0.409234  0 0
 0.41573  0 0
 0.422226  0 0
 0.428722  0 0
 0.435217  0 0
 0.441713  0 0
 0.448209  0 0
 0.454705  0 0
 0.461201  0 0
 0.467696  0 0
 0.474192  0 0
 0.480688  0 0
 0.487184  0 0
 0.49368  0 0
 0.500175  0 0
 0.506671  0 0
 0.513167  0 0
 0.519663  0 0
 0.526158  0 0
 0.532654  0 0
 0.53915  0 0
 0.545646  0 0
 0.552142  0 0
 0.558637  0 0
 0.565133  0 0
 0.571629  0 0
 0.578125  0 0
 0.58462  0 0
 0.591116  0 0
 0.597612  0 0
 0.604108  0 0
 0.610604  0 0
 0.617099  0 0
 0.623595  0 0
 0.630091  0 0
 0.636587  0 0
 0.643083  0 0
 0.649578  0 0
 0.656074  0 0
 0.66257  0 0
 0.669066  0 0
 0.675561  0 0
 0.682057  0 0
 0.688553  0 0
 0.695049  0 0
 0.701545  0 0
 0.70804  0 0
 0.714536  0 0
 0.721032  0 0
 0.727528  0 0
 0.734023  0 0
 0.740519  0 0
 0.747015  0 0
 0.753511  0 0
 0.760007  0 0
 0.766502  0 0
 0.772998  0 0
 0.779494  0 0
 0.78599  0 0
 0.792486  0 0
 0.798981  0 0
 0.805477  0 0
 0.811973  0 0
 0.818469  0 0
 0.824964  0 0
 0.83146  0 0
 0.837956  0 0
 0.844452  0 0
 0.850948  0 0
 0.857443  0 0
 0.863939  0 0
 0.870435  0 0
 0.876931  0 0
 0.883426  0.000692542 0.000685581
 0.889922  0.00307127 0.00171353
 0.896418  0.00381188 0.00154896
 0.902914  0.00944882 0.00350352
 0.90941  0.017758 0.00483686
 0.915905  0.0258323 0.00468801
 0.922401  0.0476588 0.00731535
 0.928897  0.0848554 0.00956936
 0.935393  0.103203 0.00923213
 0.941889  0.126525 0.00935714
 0.948384  0.209326 0.0131331
 0.95488  0.27505 0.0159474
 0.961376  0.411889 0.0203596
 0.967872  0.542937 0.0228593
 0.974367  0.599171 0.0235442
 0.980863  0.704523 0.026476
 0.987359  0.822419 0.0315661
 0.993855  0.99497 0.0342675
 1.00035  1.08687 0.0348933
 1.00685  1.22693 0.0385527
 1.01334  1.3845 0.0429759
 1.01984  1.51077 0.0397073
 1.02633  1.68292 0.0467612
 1.03283  1.71134 0.0443555
 1.03933  1.88514 0.0486664
 1.04582  1.93591 0.0507388
 1.05232  2.05766 0.050234
 1.05881  2.04141 0.0487925
 1.06531  2.0721 0.0525925
 1.0718  2.07085 0.0542546
 1.0783  2.12673 0.0605829
 1.0848  2.13568 0.0573161
 1.09129  2.1376 0.0536949
 1.09779  2.27294 0.0584887
 1.10428  2.26829 0.0574338
 1.11078  2.2988 0.0677138
 1.11727  2.26753 0.0591851
 1.12377  2.24257 0.0629405
 1.13027  2.25925 0.07905
 1.13676  2.2614 0.0703649
 1.14326  2.24292 0.0696114
 1.14975  2.17212 0.056395
 1.15625  2.13996 0.0506468
 1.16275  2.15743 0.0585043
 1.16924  2.15712 0.0541338
 1.17574  2.11563 0.0468745
 1.18223  2.08825 0.0447247
 1.18873  2.10042 0.0500551
 1.19522  2.0635 0.0452134
 1.20172  2.04875 0.0573552
 1.20822  1.98337 0.0517058
 1.21471  1.98726 0.0476364
 1.22121  1.97486 0.0366208
 1.2277  1.95859 0.0452056
 1.2342  1.9187 0.0491864
 1.24069  1.89455 0.0510415
 1.24719  1.92048 0.0580408
 1.25369  1.83422 0.0507574
 1.26018  1.83377 0.0512185
 1.26668  1.8073 0.0444037
 1.27317  1.80641 0.0458064
 1.27967  1.83971 0.0472296
 1.28617  1.80354 0.0449958
 1.29266  1.76943 0.0418493
 1.29916  1.76699 0.0470313
 1.30565  1.70273 0.0429258
 1.31215  1.70087 0.0366565
 1.31864  1.70819 0.0388785
 1.32514  1.67535 0.0418982
 1.33164  1.63973 0.0339822
 1.33813  1.62507 0.0353986
 1.34463  1.58028 0.0420284
 1.35112  1.57804 0.0397074
 1.35762  1.587 0.039484
 1.36411  1.63073 0.0430123
 1.37061  1.57537 0.042338
 1.37711  1.52679 0.0465192
 1.3836  1.45527 0.0377379
 1.3901  1.48754 0.0416583
 1.39659  1.48446 0.043126
 1.40309  1.44713 0.0371204
 1.40958  1.45851 0.0350404
 1.41608  1.4547 0.0335028
 1.42258  1.43163 0.0328927
 1.42907  1.40976 0.0323857
 1.43557  1.41324 0.0325467
 1.44206  1.40265 0.0353945
 1.44856  1.38961 0.0358843
 1.45506  1.36222 0.0375837
 1.46155  1.34464 0.0320269
 1.46805  1.34575 0.0379319
 1.47454  1.33378 0.0338268
 1.48104  1.28708 0.031045
 1.48753  1.31192 0.032649
 1.49403  1.31764 0.035928
 1.50053  1.30572 0.0323247
 1.50702  1.30496 0.0311548
 1.51352  1.31723 0.0343253
 1.52001  1.31046 0.0354701
 1.52651  1.28388 0.0322208
 1.533  1.28772 0.035102
 1.5395  1.25762 0.0342167
 1.546  1.24177 0.0304645
 1.55249  1.22145 0.0291764
 1.55899  1.21934 0.0293775
 1.56548  1.21889 0.0301169
 1.57198  1.23912 0.0294022
 1.57848  1.21046 0.0233593
 1.58497  1.20042 0.027813
 1.59147  1.16799 0.027072
 1.59796  1.17484 0.0282835
 1.60446  1.15433 0.021884
 1.61095  1.16815 0.0226923
 1.61745  1.17633 0.0389057
 1.62395  1.15533 0.0286434
 1.63044  1.16032 0.0284644
 1.63694  1.16961 0.0283841
 1.64343  1.18504 0.0346283
 1.64993  1.16517 0.033957
 1.65642  1.15871 0.0325688
 1.66292  1.15975 0.0307651
 1.66942  1.15673 0.0294867
 1.67591  1.12523 0.0288758
 1.68241  1.11046 0.0289532
 1.6889  1.10942 0.0329346
 1.6954  1.11858 0.0319128
 1.7019  1.13379 0.034206
 1.70839  1.11439 0.030513
 1.71489  1.14791 0.0365188
 1.72138  1.12981 0.0298675
 1.72788  1.12682 0.0285864
 1.73437  1.13915 0.0322414
 1.74087  1.14202 0.03263
 1.74737  1.10364 0.0258997
 1.75386  1.09507 0.027328
 1.76036  1.09445 0.0274764
 1.76685  1.1103 0.027785
 1.77335  1.10756 0.0267306
 1.77984  1.09131 0.0263733
 1.78634  1.07852 0.0246347
 1.79284  1.07193 0.0244468
 1.79933  1.09802 0.0252714
 1.80583  1.08132 0.0240678
 1.81232  1.12206 0.0301086
 1.81882  1.12211 0.0311392
 1.82532  1.09984 0.0291088
 1.83181  1.06673 0.0261041
 1.83831  1.08176 0.0291077
 1.8448  1.07424 0.0248669
 1.8513  1.0769 0.0231717
 1.85779  1.07421 0.0279862
 1.86429  1.08274 0.0280905
 1.87079  1.05566 0.0264962
 1.87728  1.06407 0.0284715
 1.88378  1.06094 0.0271012
 1.89027  1.08887 0.0270928
 1.89677  1.1126 0.0295709
 1.90326  1.08984 0.0265863
 1.90976  1.06378 0.0253515
 1.91626  1.04869 0.0235965
 1.92275  1.04674 0.0252746
 1.92925  1.0783 0.0244703
 1.93574  1.08141 0.0245058
 1.94224  1.07506 0.0234097
 1.94873  1.05955 0.0248568
 1.95523  1.04918 0.0260943
 1.96173  1.04543 0.0248519
 1.96822  1.05 0.0237405
 1.97472  1.03364 0.0221793
 1.98121  1.02825 0.0224757
 1.98771  1.05087 0.0235249
 1.99421  1.06152 0.0248872
 2.0007  1.04461 0.0215391
 2.0072  1.06018 0.0247308
 2.01369  1.07249 0.0290191
 2.02019  1.05299 0.0260182
 2.02668  1.07383 0.0232812
 2.03318  1.05198 0.0235042
 2.03968  1.04736 0.0208703
 2.04617  1.04391 0.0230653
 2.05267  1.04234 0.0214931
 2.05916  1.04552 0.0198469
 2.06566  1.05671 0.0216892
 2.07215  1.06202 0.0200199
 2.07865  1.06105 0.0195156
 2.08515  1.04229 0.0200534
 2.09164  1.03459 0.0225653
 2.09814  1.03783 0.0215702
 2.10463  1.01874 0.019125
 2.11113  1.00897 0.019501
 2.11763  1.01367 0.0196773
 2.12412  1.02959 0.0203289
 2.13062  1.02769 0.0226031
 2.13711  1.04818 0.022575
 2.14361  1.03587 0.0214349
 2.1501  1.02931 0.0189683
 2.1566  1.04614 0.0222145
 2.1631  1.0344 0.0190988
 2.16959  1.03689 0.0222879
 2.17609  1.02744 0.0233344
 2.18258  1.03823 0.0205491
 2.18908  1.04015 0.019101
 2.19557  1.05254 0.0207548
 2.20207  1.06312 0.0205509
 2.20857  1.05669 0.0216394
 2.21506  1.06442 0.0205777
 2.22156  1.06028 0.0233564
 2.22805  1.03555 0.0191201
 2.23455  1.03617 0.0192935
 2.24105  1.03551 0.0187692
 2.24754  1.01991 0.0188566
 2.25404  1.02217 0.01754
 2.26053  1.01589 0.0206396
 2.26703  1.01858 0.0184714
 2.27352  1.01647 0.0164093
 2.28002  1.03131 0.0198996
 2.28652  1.04112 0.0203754
 2.29301  1.02922 0.0169269
 2.29951  1.03641 0.0172486
 2.306  1.0438 0.0191483
 2.3125  1.04689 0.018543
 2.31899  1.044 0.02059
 2.32549  1.04669 0.0221596
 2.33199  1.04685 0.0197919
 2.33848  1.04087 0.0189835
 2.34498  1.03077 0.0186493
 2.35147  1.02296 0.0191947
 2.35797  1.02853 0.019782
 2.36447  1.04285 0.0175817
 2.37096  1.0193 0.0165459
 2.37746  1.00479 0.0151479
 2.38395  1.01066 0.0144946
 2.39045  1.0289 0.0197942
 2.39694  1.01105 0.0204137
 2.40344  1.02613 0.0185888
 2.40994  1.01788 0.0159666
 2.41643  1.01125 0.0160184
 2.42293  1.01277 0.0178197
 2.42942  1.01628 0.0187676
 2.43592  1.00945 0.0174791
 2.44241  1.01946 0.0186384
 2.44891  1.02499 0.0173046
 2.45541  1.01348 0.0159991
 2.4619  1.02635 0.017303
 2.4684  1.01545 0.019016
 2.47489  1.01026 0.0169443
 2.48139  1.00062 0.0160177
 2.48788  1.00661 0.0163272
 2.49438  1.01293 0.0175304
 2.50088  1.00926 0.0155583
 2.50737  1.01816 0.0139246
 2.51387  1.00984 0.0152026
 2.52036  1.01636 0.0169062
 2.52686  1.01383 0.0161494
 2.53336  1.00075 0.0156355
 2.53985  0.994532 0.0148574
 2.54635  1.02097 0.0173693
 2.55284  1.02536 0.0154303
 2.55934  1.00357 0.0150676
 2.56583  0.991627 0.0160759
 2.57233  1.00229 0.0140769
 2.57883  1.02709 0.0168453
 2.58532  1.04206 0.0159204
 2.59182  1.01537 0.0137266
 2.59831  1.00963 0.0148979
 2.60481  1.01872 0.0166095
 2.6113  1.02115 0.0165072
 2.6178  1.01585 0.0166233
 2.6243  1.01533 0.0152445
 2.63079  1.00507 0.0149951
 2.63729  0.998138 0.0154517
 2.64378  0.989043 0.0137073
 2.65028  1.00628 0.0161678
 2.65678  1.02155 0.0169104
 2.66327  1.01356 0.0162119
 2.66977  1.03582 0.0169195
 2.67626  1.01457 0.0169437
 2.68276  1.00999 0.01673
 2.68925  1.01563 0.01638
 2.69575  1.0182 0.0177383
 2.70225  1.02074 0.0177147
 2.70874  1.01419 0.0185973
 2.71524  1.0351 0.0161288
 2.72173  1.02249 0.0161998
 2.72823  1.01544 0.0142945
 2.73472  1.01456 0.0149793
 2.74122  1.02007 0.0131167
 2.74772  1.02069 0.0143448
 2.75421  1.00385 0.0107167
 2.76071  1.00238 0.0142279
 2.7672  0.989002 0.0145304
 2.7737  1.00924 0.0147052
 2.7802  1.01641 0.0156995
 2.78669  1.00717 0.0132051
 2.79319  1.02209 0.014705
 2.79968  1.00241 0.0154785
 2.80618  0.992605 0.0155915
 2.81267  0.993243 0.0136976
 2.81917  1.00651 0.0156925
 2.82567  0.98523 0.0161053
 2.83216  0.99886 0.0141275
 2.83866  0.99595 0.014249
 2.84515  0.993521 0.0157174
 2.85165  0.987948 0.0159903
 2.85814  0.994567 0.0145481
 2.86464  1.00204 0.015464
 2.87114  0.985685 0.0128478
 2.87763  0.993551 0.0127675
 2.88413  0.987241 0.0132543
 2.89062  0.981394 0.0143603
 2.89712  0.995142 0.0158674
 2.90361  0.983655 0.0125483
 2.91011  0.973879 0.0119488
 2.91661  0.994474 0.013241
 2.9231  1.0064 0.0155221
 2.9296  1.00712 0.0138496
 2.93609  1.02245 0.0141669
 2.94259  1.01997 0.0166554
 2.94909  1.00336 0.0146964
 2.95558  1.00618 0.0142672
 2.96208  1.01473 0.0155059
 2.96857  1.00985 0.0137144
 2.97507  1.01582 0.0128329
 2.98156  1.00376 0.0121403
 2.98806  1.01185 0.0141114
 2.99456  1.01428 0.01517
 3.00105  1.01417 0.0155294
 3.00755  1.00549 0.0160421
 3.01404  1.01044 0.0152754
 3.02054  1.00628 0.0158261
 3.02703  0.990919 0.0154758
 3.03353  0.986394 0.0153331
 3.04003  0.996331 0.0128438
 3.04652  1.01072 0.0138369
 3.05302  1.00088 0.0155495
 3.05951  0.98822 0.0129729
 3.06601  0.993564 0.0143673
 3.07251  0.99223 0.0141382
 3.079  0.99897 0.0144308
 3.0855  1.00192 0.0137163
 3.09199  1.00969 0.0137669
 3.09849  0.990923 0.0127479
 3.10498  0.996953 0.0145558
 3.11148  0.988539 0.0129145
 3.11798  0.993757 0.0151766
 3.12447  0.986443 0.0139317
 3.13097  0.992173 0.0135385
 3.13746  0.981882 0.0132199
 3.14396  0.991227 0.0164416
 3.15045  0.991847 0.0134686
 3.15695  0.980182 0.0127816
 3.16345  0.990997 0.0150197
 3.16994  0.99044 0.014148
 3.17644  1.00488 0.0129248
 3.18293  1.00618 0.0121285
 3.18943  1.00223 0.0127894
 3.19593  1.00001 0.0112216
 3.20242  0.994677 0.0114751
 3.20892  0.999804 0.0136568
 3.21541  1.00063 0.0117694
 3.22191  0.992904 0.0120741
 3.2284  0.986484 0.0137404
 3.2349  0.999938 0.0143396
 3.2414  0.995464 0.013894
 3.24789  0.99028 0.0122292
 3.25439  1.00331 0.013791
 3.26088  1.01217 0.0146204
 3.26738  1.00112 0.0135282
 3.27387  0.997542 0.012698
 3.28037  0.990203 0.0138592
 3.28687  0.997337 0.0142492
 3.29336  1.00641 0.0143601
 3.29986  1.00697 0.0131848
 3.30635  1.01512 0.0116662
 3.31285  1.01661 0.0132801
 3.31935  1.01388 0.0141655
 3.32584  0.995881 0.0133174
 3.33234  0.984083 0.0110225
 3.33883  0.993491 0.0119937
 3.34533  0.979035 0.0123574
 3.35182  0.979037 0.012789
 3.35832  0.992273 0.0113321
 3.36482  0.997497 0.0133902
 3.37131  0.999995 0.0120639
 3.37781  0.983721 0.0131735
 3.3843  0.992016 0.0121574
 3.3908  0.988222 0.0110532
 3.39729  1.00025 0.0119273
 3.40379  1.00025 0.0133541
 3.41029  1.00285 0.012811
 3.41678  1.00124 0.0119216
 3.42328  1.00331 0.0105188
 3.42977  0.995509 0.0110613
 3.43627  1.00695 0.01131
 3.44276  0.990703 0.0105137
 3.44926  1.00338 0.0125721
 3.45576  0.996339 0.00993446
 3.46225  0.995558 0.0121661
 3.46875  0.993613 0.0119705
 3.47524  0.992478 0.0114954
 3.48174  0.987717 0.011488
 3.48824  0.991541 0.0113938
 3.49473  1.00142 0.0127108
 3.50123  0.99921 0.011676
 3.50772  0.990065 0.0104942
 3.51422  0.992675 0.0115069
 3.52071  1.00016 0.0120505
 3.52721  0.995346 0.00990393
 3.53371  0.989655 0.00977766
 3.5402  0.986185 0.0108447
 3.5467  0.988772 0.0113244
 3.55319  0.98817 0.0117668
 3.55969  0.993016 0.011535
 3.56618  0.997026 0.0124813
 3.57268  0.996607 0.01275
 3.57918  1.00437 0.0124263
 3.58567  1.00008 0.0117957
 3.59217  1.00397 0.0110395
 3.59866  1.00394 0.0104594
 3.60516  1.00326 0.0107676
 3.61166  0.993965 0.00901757
 3.61815  1.00394 0.0111313
 3.62465  1.00647 0.0115252
 3.63114  1.00642 0.0103243
 3.63764  1.01352 0.0115018
 3.64413  1.01104 0.0129821
 3.65063  1.01552 0.0118761
 3.65713  1.00992 0.010059
 3.66362  1.00486 0.0111566
 3.67012  1.00584 0.0123592
 3.67661  1.01232 0.0114641
 3.68311  1.0052 0.0106725
 3.6896  1.00061 0.0101863
 3.6961  0.998691 0.0103808
 3.7026  0.996848 0.00984178
 3.70909  0.988747 0.0107267
 3.71559  0.98626 0.0116798
 3.72208  0.979848 0.0112476
 3.72858  0.995904 0.0120226
 3.73508  0.991082 0.0103536
 3.74157  0.986763 0.0105414
 3.74807  1.00115 0.0137313
 3.75456  0.987288 0.0139252
 3.76106  0.985113 0.0133443
 3.76755  0.991123 0.0123702
 3.77405  1.00683 0.0124566
 3.78055  1.01616 0.013936
 3.78704  1.01339 0.0117502
 3.79354  1.00119 0.0109935
 3.80003  1.00763 0.0119209
 3.80653  1.00085 0.0110906
 3.81302  0.995843 0.00978639
 3.81952  1.00647 0.0108652
 3.82602  1.01505 0.011044
 3.83251  1.01669 0.0119021
 3.83901  1.00072 0.0108378
 3.8455  1.00116 0.011479
 3.852  0.999361 0.0112843
 3.8585  0.995887 0.0122255
 3.86499  0.98933 0.0119199
 3.87149  0.984221 0.00865952
 3.87798  0.984872 0.00900755
 3.88448  0.976853 0.00957403
 3.89097  0.978949 0.00946178
 3.89747  0.98736 0.0107798
 3.90397  0.988707 0.00993001
 3.91046  0.985211 0.00985477
 3.91696  0.984305 0.0112518
 3.92345  0.98596 0.00988804
 3.92995  0.983081 0.0104933
 3.93644  0.986527 0.0109573
 3.94294  0.998081 0.0104643
 3.94944  0.987793 0.010617
 3.95593  0.994963 0.00914273
 3.96243  0.992935 0.00801871
 3.96892  0.992566 0.0112133
 3.97542  0.984051 0.0108879
 3.98191  0.987242 0.010444
 3.98841  0.988098 0.00978544
 3.99491  0.983153 0.00916684
 4.0014  0.983723 0.0112513
 4.0079  0.987609 0.0108125
 4.01439  1.00217 0.0112851
 4.02089  1.00959 0.0123517
 4.02739  1.00512 0.0112914
 4.03388  0.998305 0.0104464
 4.04038  1.00597 0.0109702
 4.04687  1.00203 0.011456
 4.05337  1.00633 0.0129532
 4.05986  1.00398 0.01082
 4.06636  0.999984 0.0112235
 4.07286  1.00425 0.0117746
 4.07935  1.00258 0.00982281
 4.08585  1.00146 0.00941716
 4.09234  1.00296 0.0089105
 4.09884  1.00061 0.00997958
 4.10533  0.9948 0.0107563
 4.11183  0.998751 0.0103625
 4.11833  1.01178 0.00965596
 4.12482  1.01481 0.0104916
 4.13132  1.01084 0.0116122
 4.13781  1.01588 0.0116386
 4.14431  1.00081 0.00900348
 4.15081  1.00076 0.00892228
 4.1573  0.996167 0.00845404
 4.1638  1.00186 0.0101619
