         134    -6.65265    -6.64109 0.000998952
         135    -6.63763    -6.64106 0.000991882
         136    -6.64373    -6.64108 0.000984783
         137    -6.63937    -6.64107 0.000977674
         138    -6.63187      -6.641 0.000972862
         139    -6.65633    -6.64111 0.000972088
         140     -6.6375    -6.64109 0.000965488
         141    -6.64027    -6.64108 0.000958658
         142    -6.64255    -6.64109 0.000951962
         143    -6.63572    -6.64106 0.000946047
         144    -6.64691     -6.6411 0.000940351
         145    -6.64066    -6.64109  0.00093387
         146    -6.63459    -6.64105 0.000928536
         147     -6.6513    -6.64112 0.000924836
         148    -6.64188    -6.64112 0.000918601
         149    -6.63308    -6.64107 0.000914023
         150    -6.63341    -6.64102 0.000909357
         151    -6.67024    -6.64121 0.000923694
         152    -6.61889    -6.64107 0.000929214
         153    -6.66328    -6.64121 0.000934415
         154     -6.6251    -6.64111 0.000934182
         155    -6.64141    -6.64111 0.000928157
         156    -6.62132    -6.64098 0.000930837
         157    -6.63706    -6.64096 0.000925243
         158     -6.6428    -6.64097 0.000919461
         159    -6.64674      -6.641 0.000914395
         160    -6.65521    -6.64109 0.000912981
         161    -6.64466    -6.64112 0.000907578
         162    -6.64449    -6.64114 0.000902215
         163    -6.65295    -6.64121 0.000899587
         164     -6.6475    -6.64125  0.00089492
         165    -6.62793    -6.64117 0.000893126
         166    -6.66574    -6.64131 0.000899927
         167    -6.63378    -6.64127  0.00089567
         168    -6.61931    -6.64114 0.000899821
         169    -6.64777    -6.64118 0.000895352
         170    -6.66412    -6.64131 0.000900197
         171    -6.61297    -6.64115 0.000910066
         172    -6.63917    -6.64114 0.000904848
         173    -6.64327    -6.64115 0.000899702
         174    -6.64228    -6.64115 0.000894555
         175    -6.63404    -6.64111 0.000890367
         176    -6.63419    -6.64107 0.000886177
         177    -6.63147    -6.64102 0.000882831
         178    -6.64442    -6.64104 0.000878078
         179    -6.64514    -6.64106 0.000873471
         180    -6.62271    -6.64096 0.000874547
         181    -6.64763      -6.641 0.000870491
         182    -6.65835    -6.64109 0.000870911
         183    -6.63762    -6.64107 0.000866358
         184    -6.62449    -6.64098 0.000866323
         185    -6.65783    -6.64107 0.000866412
         186    -6.65482    -6.64115   0.0008649
         187     -6.6275    -6.64108 0.000863347
         188    -6.63086    -6.64102 0.000860463
         189    -6.62387    -6.64093 0.000860682
         190    -6.64916    -6.64097 0.000857241
         191     -6.6275     -6.6409 0.000855649
         192    -6.65083    -6.64095 0.000852753
         193    -6.62824    -6.64089 0.000850876
         194    -6.63738    -6.64087 0.000846682
         195    -6.64231    -6.64088 0.000842372
         196    -6.62275    -6.64079 0.000843135
         197    -6.64915    -6.64083 0.000839924
         198    -6.62507    -6.64075 0.000839446
         199    -6.65371    -6.64081 0.000837753
         200    -6.64404    -6.64083  0.00083372
