           1    -6.65173    -6.65173 1.52152e-08
           2    -6.69281    -6.67227   0.0145232
           3    -6.68117    -6.67524  0.00998059
           4     -6.6738    -6.67488   0.0074919
           5    -6.67203    -6.67431   0.0060151
           6    -6.67577    -6.67455  0.00501749
           7    -6.67474    -6.67458  0.00430077
           8    -6.67872     -6.6751  0.00379413
           9    -6.67942    -6.67558  0.00340285
          10    -6.66305    -6.67432    0.003285
          11    -6.66784    -6.67373  0.00303875
          12    -6.66886    -6.67333  0.00281252
          13     -6.6688    -6.67298  0.00261764
          14    -6.69084    -6.67426  0.00272374
          15    -6.67209    -6.67411  0.00254599
          16    -6.66441     -6.6735  0.00245806
          17    -6.66328     -6.6729  0.00238598
          18    -6.69014    -6.67386  0.00243806
          19    -6.65336    -6.67278  0.00253736
          20    -6.67432    -6.67286  0.00241166
          21    -6.67821    -6.67311  0.00231026
          22    -6.68665    -6.67373  0.00228574
          23    -6.68063    -6.67403  0.00220596
          24    -6.67504    -6.67407  0.00211445
          25    -6.66005    -6.67351   0.0021029
          26    -6.66167    -6.67305  0.00207076
          27    -6.70469    -6.67423  0.00230183
          28    -6.67879    -6.67439  0.00222539
          29    -6.67316    -6.67435  0.00214906
          30     -6.6645    -6.67402  0.00210236
          31    -6.67548    -6.67407  0.00203508
          32     -6.6726    -6.67402    0.001972
          33    -6.66334     -6.6737   0.0019386
          34    -6.69887    -6.67444  0.00201802
          35    -6.65966    -6.67401  0.00200404
          36     -6.6944    -6.67458  0.00202677
          37    -6.66789     -6.6744  0.00198004
          38    -6.67005    -6.67429  0.00193124
          39    -6.67925    -6.67441  0.00188591
          40    -6.69239    -6.67486  0.00189155
          41    -6.65306    -6.67433   0.0019187
          42    -6.67786    -6.67441  0.00187486
          43    -6.68554    -6.67467  0.00184903
          44    -6.66602    -6.67448  0.00181742
          45    -6.66195     -6.6742  0.00179824
          46    -6.67461    -6.67421  0.00175917
          47    -6.67357    -6.67419  0.00172179
          48    -6.66946     -6.6741  0.00168874
          49    -6.67381    -6.67409  0.00165428
          50    -6.67562    -6.67412  0.00162148
          51    -6.67958    -6.67423  0.00159321
          52    -6.66162    -6.67398  0.00158091
          53    -6.70621    -6.67459  0.00166392
          54    -6.64489    -6.67404  0.00172164
          55    -6.68709    -6.67428  0.00170659
          56    -6.67069    -6.67422  0.00167732
          57     -6.6763    -6.67425  0.00164829
          58    -6.68636    -6.67446  0.00163304
          59    -6.66562    -6.67431  0.00161222
          60    -6.67926    -6.67439  0.00158746
          61    -6.67087    -6.67434  0.00156248
          62    -6.68062    -6.67444  0.00154056
          63    -6.69792    -6.67481  0.00156054
          64    -6.65094    -6.67444  0.00158012
          65    -6.67868     -6.6745  0.00155716
          66    -6.66474    -6.67435  0.00154057
          67    -6.67518    -6.67437  0.00151763
          68    -6.68342     -6.6745  0.00150113
          69    -6.68075    -6.67459  0.00148211
          70    -6.65992    -6.67438  0.00147568
          71    -6.67715    -6.67442  0.00145541
          72    -6.66434    -6.67428  0.00144191
          73    -6.67482    -6.67429  0.00142218
          74    -6.68728    -6.67446  0.00141375
          75    -6.67489    -6.67447  0.00139491
          76    -6.66865    -6.67439  0.00137865
          77    -6.68167    -6.67449  0.00136399
          78    -6.68927    -6.67468  0.00135961
          79    -6.66699    -6.67458  0.00134587
          80    -6.69174    -6.67479  0.00134603
          81    -6.65854    -6.67459  0.00134428
          82    -6.67293    -6.67457  0.00132804
          83    -6.70653    -6.67496  0.00136671
          84    -6.67046     -6.6749  0.00135149
          85    -6.65965    -6.67472  0.00134745
          86    -6.69083    -6.67491  0.00134473
          87    -6.67531    -6.67492  0.00132928
          88    -6.66134    -6.67476  0.00132309
          89    -6.70667    -6.67512  0.00135593
          90    -6.67783    -6.67515  0.00134119
          91    -6.69321    -6.67535  0.00134107
          92    -6.66006    -6.67518  0.00133674
          93    -6.69021    -6.67534   0.0013321
          94    -6.67823    -6.67538  0.00131828
          95    -6.66998    -6.67532  0.00130563
          96    -6.68183    -6.67539  0.00129379
          97    -6.66792    -6.67531  0.00128273
          98    -6.68893    -6.67545  0.00127715
          99    -6.66313    -6.67532   0.0012703
         100      -6.672    -6.67529  0.00125803
         101    -6.67858    -6.67532    0.001246
         102    -6.67903    -6.67536  0.00123431
         103    -6.66142    -6.67522  0.00122973
         104    -6.67638    -6.67524  0.00121796
         105    -6.70829    -6.67555  0.00124639
         106    -6.66824    -6.67548  0.00123654
         107    -6.68262    -6.67555  0.00122678
         108    -6.66732    -6.67547  0.00121778
         109    -6.66978    -6.67542  0.00120773
         110    -6.69206    -6.67557  0.00120619
         111     -6.6723    -6.67554  0.00119568
         112    -6.68928    -6.67566  0.00119128
         113    -6.67338    -6.67564  0.00118091
         114     -6.6719    -6.67561  0.00117101
         115    -6.68843    -6.67572  0.00116612
         116    -6.65535    -6.67555  0.00116922
         117    -6.68928    -6.67566   0.0011651
         118    -6.67808    -6.67568  0.00115541
         119    -6.66366    -6.67558  0.00115011
         120    -6.67521    -6.67558  0.00114053
         121    -6.67863    -6.67561  0.00113138
         122    -6.67374    -6.67559  0.00112221
         123    -6.66632    -6.67551  0.00111561
         124    -6.71297    -6.67582  0.00114678
         125     -6.6639    -6.67572  0.00114156
         126    -6.64856    -6.67551  0.00115267
         127    -6.67105    -6.67547  0.00114412
         128    -6.65628    -6.67532  0.00114497
         129    -6.69816     -6.6755  0.00114971
         130    -6.66939    -6.67545  0.00114182
         131    -6.64515    -6.67522  0.00115629
         132    -6.68252    -6.67528  0.00114885
         133    -6.68216    -6.67533  0.00114138
         134    -6.67675    -6.67534  0.00113291
         135    -6.66421    -6.67526  0.00112751
         136    -6.69331    -6.67539  0.00112701
         137    -6.67589    -6.67539  0.00111879
         138    -6.64259    -6.67515  0.00113565
         139    -6.67435    -6.67515   0.0011275
         140    -6.68333    -6.67521  0.00112096
         141    -6.69397    -6.67534  0.00112088
         142    -6.67704    -6.67535  0.00111305
         143    -6.68848    -6.67544  0.00110904
         144     -6.6697     -6.6754  0.00110206
         145    -6.66158    -6.67531  0.00109857
         146      -6.696    -6.67545  0.00110016
         147    -6.66264    -6.67536  0.00109612
         148    -6.68222    -6.67541  0.00108969
         149    -6.68521    -6.67547  0.00108436
         150    -6.68136    -6.67551  0.00107784
         151    -6.67647    -6.67552  0.00107072
         152    -6.65092    -6.67536  0.00107584
         153     -6.6614    -6.67527  0.00107267
         154    -6.71573    -6.67553  0.00109741
         155     -6.6584    -6.67542  0.00109588
         156    -6.66131    -6.67533  0.00109258
         157    -6.67804    -6.67535  0.00108576
         158    -6.68334     -6.6754  0.00108006
         159    -6.66938    -6.67536  0.00107393
         160    -6.68745    -6.67543  0.00106988
         161    -6.69161    -6.67554  0.00106794
         162    -6.68687    -6.67561  0.00106364
         163    -6.66325    -6.67553  0.00105981
         164    -6.68647     -6.6756  0.00105544
         165    -6.66213    -6.67551   0.0010522
         166    -6.67136    -6.67549  0.00104615
         167    -6.67491    -6.67549   0.0010399
         168    -6.67457    -6.67548  0.00103372
         169    -6.65626    -6.67537  0.00103384
         170     -6.7082    -6.67556  0.00104565
         171    -6.67595    -6.67556  0.00103954
         172     -6.6662    -6.67551  0.00103491
         173    -6.66862    -6.67547   0.0010297
         174    -6.69025    -6.67555  0.00102728
         175    -6.67375    -6.67554  0.00102146
         176    -6.66901    -6.67551  0.00101633
         177    -6.69057    -6.67559  0.00101415
         178    -6.65299    -6.67546  0.00101636
         179    -6.68191     -6.6755  0.00101132
